time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	norm_dof	norm_value
1767730030.944946527	0.830139	0.351038	0.944268	0.000000	-0.000000	-0.000000	-0.033872	0.142862	0.243275	-0.000000	0.000000	0.000000	0.521867	-2.436339	-4.407492	0.000000	-0.000000	0.752351	29.003974	17.847669	50.041771	0.000000	0.000000	0.000000	0.000000	0.000000
1767730031.045232296	-0.005526	-0.132933	-0.537029	0.000000	-0.000000	-0.000000	0.044908	0.180014	0.342370	-0.000000	0.000000	0.000000	0.511318	-2.423559	-4.377189	0.000000	-0.000000	0.752351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730031.144973278	-0.012714	-0.136388	-0.524425	0.000000	-0.000000	0.000000	0.058283	0.174787	0.313355	-0.000000	0.000000	-0.000000	0.503267	-2.406396	-4.343616	0.000000	-0.000000	0.752351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730031.244899035	-0.012402	-0.120299	-0.382329	0.000000	-0.000000	0.000000	0.057343	0.163479	0.269443	-0.000000	0.000000	-0.000000	0.497214	-2.392883	-4.319705	0.000000	-0.000000	0.752351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730031.345082760	-0.012029	-0.106190	-0.283039	0.000000	-0.000000	0.000000	0.056093	0.150913	0.226474	-0.000000	0.000000	-0.000000	0.490688	-2.377628	-4.295426	0.000000	-0.000000	0.752351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730031.444801331	-0.011671	-0.094411	-0.219274	0.000000	-0.000000	-0.000000	0.054877	0.139823	0.194860	-0.000000	0.000000	0.000000	0.484871	-2.363309	-4.274733	0.000000	-0.000000	0.752351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730031.544862032	-0.011386	-0.086242	-0.184153	0.000000	-0.000000	-0.000000	0.053704	0.130186	0.171870	-0.000000	0.000000	0.000000	0.479663	-2.349814	-4.256632	0.000000	-0.000000	0.752351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730031.645119190	0.844664	-0.077616	-0.151578	0.000000	-0.000000	0.000000	0.052561	0.121426	0.152869	-0.000000	0.000000	-0.000000	0.474991	-2.337062	-4.240578	0.000000	-0.000000	0.752351	30.121299	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730031.744861126	1.065977	-0.070162	-0.126854	0.000000	-0.000000	0.000000	0.108682	0.114814	0.139695	-0.000000	0.000000	-0.000000	0.473205	-2.325334	-4.228516	0.000000	-0.000000	0.752351	38.637169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730031.844959259	1.249120	-0.063719	-0.107874	0.000000	-0.000000	0.000000	0.207903	0.107549	0.126185	-0.000000	0.000000	-0.000000	0.477635	-2.306053	-4.215362	0.000000	-0.000000	0.752351	47.163845	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730031.945198774	1.357556	-0.059091	-0.095636	0.000000	-0.000000	0.000000	0.329762	0.101070	0.115082	-0.000000	0.000000	0.000000	0.490823	-2.279502	-4.203404	0.000000	-0.000000	0.752351	54.141132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730032.044900417	1.195059	-0.054089	-0.083279	0.000000	-0.000000	-0.000000	0.463711	0.095084	0.105314	-0.000000	0.000000	0.000000	0.513882	-2.244558	-4.192474	0.000000	-0.000000	0.752351	54.141132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730032.144822121	0.994454	-0.049656	-0.073093	0.000000	-0.000000	-0.000000	0.585925	0.089591	0.096780	-0.000000	0.000000	0.000000	0.546748	-2.201216	-4.182449	0.000000	-0.000000	0.752351	54.141132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730032.244944811	0.822536	-0.046357	-0.065982	0.000000	-0.000000	-0.000000	0.672139	0.085379	0.090519	-0.000000	0.000000	0.000000	0.580668	-2.159532	-4.174703	0.000000	-0.000000	0.752351	54.141132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730032.345048666	0.630784	-0.042814	-0.058781	0.000000	-0.000000	2.472977	0.757258	0.080689	0.083803	-0.000000	0.000000	-0.000000	0.627806	-2.104095	-4.166048	0.000000	-0.000000	0.752351	54.141132	0.000000	0.000000	0.000000	0.000000	3.180248	0.000000	0.000000
1767730032.444806337	0.352348	-0.081802	-0.052647	0.000000	-0.000000	2.355877	0.834971	0.065708	0.077805	-0.000000	-0.000000	0.166667	0.681196	-2.043675	-4.158022	-0.000000	0.000000	0.760684	50.880329	0.000000	0.000000	0.000000	0.000000	4.565168	0.000000	0.000000
1767730032.544910908	0.077989	-0.141984	-0.047413	0.000000	-0.000000	2.498920	0.889242	0.029058	0.072438	0.000000	-0.000000	0.366667	0.739983	-1.979563	-4.150559	-0.000000	0.000000	0.789017	46.612282	0.000000	0.000000	0.000000	0.000000	7.639056	0.000000	0.000000
1767730032.644996405	-0.071807	-0.202885	-0.042910	0.000000	-0.000000	-0.276735	0.911466	-0.019807	0.068399	0.000000	-0.000000	0.533333	0.791831	-1.924840	-4.144728	-0.000000	0.000000	0.827906	44.686191	0.000000	0.000000	0.000000	0.000000	7.663498	0.000000	0.000000
1767730032.745064735	-0.192149	-0.180744	-0.039006	0.000000	-0.000000	-0.861302	0.909317	-0.090541	0.063958	0.000000	-0.000000	0.581551	0.855970	-1.859434	-4.138152	-0.000000	0.000000	0.886581	40.969711	0.000000	0.000000	0.000000	0.000000	7.978623	0.000000	0.000000
1767730032.844941616	-0.185169	-0.100686	-0.036192	0.000000	-0.000000	0.178946	0.880551	-0.153242	0.059992	0.000000	-0.000000	0.505164	0.920418	-1.796165	-4.131990	-0.000000	0.000000	0.940686	39.319399	0.000000	0.000000	0.000000	0.000000	7.978623	0.000000	0.000000
1767730032.944853544	-0.220000	-0.024476	-0.033144	-0.000000	-0.000000	0.317930	0.853145	-0.205576	0.056326	0.000000	-0.000000	0.505721	0.984511	-1.735316	-4.126206	-0.000000	0.000000	0.990512	35.843693	0.000000	0.000000	0.000000	0.000000	7.832845	0.000000	0.000000
1767730033.044844151	-0.156487	0.040028	-0.030435	-0.000000	0.000000	-0.092434	0.827598	-0.243808	0.053514	0.000000	-0.000000	0.529899	1.037521	-1.685992	-4.121655	-0.000000	0.000000	1.033787	35.843693	0.000000	0.000000	0.000000	0.000000	7.832845	0.000000	0.000000
1767730033.144843817	-0.089563	0.111159	-0.028031	-0.000000	0.000000	-0.160407	0.796620	-0.283119	0.050380	0.000000	-0.000000	0.534334	1.100159	-1.628170	-4.116489	0.000000	0.000000	1.087491	35.843693	0.000000	0.000000	0.000000	0.000000	7.832845	0.000000	0.000000
1767730033.244794130	-0.029991	0.177228	-0.025888	-0.000000	0.000000	0.664159	0.769687	-0.313067	0.047496	0.000000	-0.000000	0.520559	1.161410	-1.571186	-4.111622	0.000000	0.000000	1.140196	35.843693	0.000000	0.000000	0.000000	0.000000	8.622889	0.000000	0.000000
1767730033.344810724	-0.021155	0.216126	-0.023968	-0.000000	0.000000	0.338626	0.751004	-0.336932	0.044836	0.000000	-0.000000	0.559489	1.221069	-1.514140	-4.107030	0.000000	-0.000000	1.193607	35.043744	0.000000	0.000000	0.000000	0.000000	8.976922	0.000000	0.000000
1767730033.444926262	0.007582	0.252861	-0.022242	-0.000000	0.000000	-0.504408	0.732496	-0.359024	0.042375	0.000000	-0.000000	0.604203	1.278983	-1.456198	-4.102692	0.000000	-0.000000	1.252525	35.043744	0.000000	0.000000	0.000000	0.000000	8.813145	0.000000	0.000000
1767730033.544798136	0.056180	0.301609	-0.020684	-0.000000	0.000000	-0.396618	0.710500	-0.375452	0.040094	0.000000	-0.000000	0.581863	1.334586	-1.397398	-4.098590	0.000000	-0.000000	1.312578	35.043744	0.000000	0.000000	0.000000	0.000000	8.487536	0.000000	0.000000
1767730033.644859552	0.101799	0.336165	-0.019273	-0.000000	0.000000	-0.602901	0.692344	-0.382989	0.037973	-0.000000	0.000000	0.538609	1.387336	-1.337771	-4.094706	0.000000	-0.000000	1.368121	35.043744	0.000000	0.000000	0.000000	0.000000	7.348372	0.000000	0.000000
1767730033.744828224	0.115772	0.353589	-0.018007	-0.000000	0.000000	-2.989850	0.680328	-0.382069	0.036022	-0.000000	0.000000	0.481757	1.436848	-1.276894	-4.091023	0.000000	-0.000000	1.418809	34.248024	0.000000	0.000000	0.000000	0.000000	3.180248	0.000000	0.000000
1767730033.844822168	0.156267	0.231082	-0.016851	-0.000000	0.000000	-3.090116	0.666920	-0.368488	0.034201	-0.000000	0.000000	0.305042	1.482669	-1.214996	-4.087528	0.000000	-0.000000	1.457646	33.448075	-5.801178	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730033.945302010	0.133982	0.223584	-0.015793	-0.000000	0.000000	-0.920328	0.662646	-0.351302	0.032496	-0.000000	0.000000	0.105042	1.525017	-1.152573	-4.084208	0.000000	-0.000000	1.476484	31.052457	-6.923012	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730034.044758797	0.084416	0.154182	-0.014822	0.000000	-0.000000	0.040270	0.668245	-0.328609	0.030899	-0.000000	0.000000	-0.004986	1.564798	-1.089414	-4.081052	0.000000	-0.000000	1.479820	29.054700	-9.078787	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730034.144916296	0.067108	0.066733	-0.013930	0.000000	-0.000000	3.212515	0.677328	-0.310505	0.029401	-0.000000	0.000000	-0.016969	1.602597	-1.025271	-4.078051	-0.000000	-0.000000	1.477955	29.054700	-11.289907	0.000000	0.000000	0.000000	3.953252	0.000000	0.000000
1767730034.244774580	0.106236	-0.009247	-0.013108	0.000000	-0.000000	3.350846	0.693151	-0.310750	0.027993	-0.000000	0.000000	0.150369	1.639538	-0.959714	-4.075193	-0.000000	-0.000000	1.484659	32.516917	-12.340906	0.000000	0.000000	0.000000	6.063430	0.000000	0.000000
1767730034.344862223	0.165105	-0.034438	-0.012349	0.000000	-0.000000	1.641427	0.707682	-0.333350	0.026669	-0.000000	0.000000	0.350369	1.676743	-0.892027	-4.072472	-0.000000	0.000000	1.511362	36.910294	-12.640700	0.000000	0.000000	0.000000	6.815016	0.000000	0.000000
1767730034.445110559	0.125821	0.002320	-0.011646	0.000000	-0.000000	-0.118803	0.718700	-0.371595	0.025421	-0.000000	0.000000	0.520488	1.714641	-0.821839	-4.069878	-0.000000	0.000000	1.556572	37.706010	-12.240975	0.000000	0.000000	0.000000	7.614614	0.000000	0.000000
1767730034.544987440	0.126087	0.086486	-0.010995	0.000000	-0.000000	-0.302812	0.712463	-0.409844	0.024245	-0.000000	0.000000	0.537945	1.752848	-0.749531	-4.067405	-0.000000	0.000000	1.610861	37.706010	-12.240975	0.000000	0.000000	0.000000	7.760392	0.000000	0.000000
1767730034.644871950	0.147115	0.165530	-0.010390	0.000000	-0.000000	-0.122857	0.701924	-0.437660	0.023134	0.000000	0.000000	0.510730	1.790444	-0.676050	-4.065046	-0.000000	0.000000	1.663195	37.706010	-12.240975	0.000000	0.000000	0.000000	7.517719	0.000000	0.000000
1767730034.745325327	0.164408	0.220863	-0.009828	0.000000	-0.000000	-0.817141	0.693946	-0.455858	0.022085	0.000000	-0.000000	0.495445	1.826550	-0.601417	-4.062794	-0.000000	0.000000	1.713251	37.706010	-12.240975	0.000000	0.000000	0.000000	6.233650	0.000000	0.000000
1767730034.845076561	0.216140	0.260985	-0.009304	0.000000	-0.000000	-0.020139	0.685509	-0.463919	0.021093	0.000000	-0.000000	0.425303	1.860397	-0.525718	-4.060644	-0.000000	0.000000	1.759186	38.505963	-12.240975	0.000000	0.000000	0.000000	6.209208	0.000000	0.000000
1767730034.945390940	0.221180	0.272803	-0.008976	0.000000	-0.000000	0.371238	0.686617	-0.465497	0.020309	0.000000	-0.000000	0.410341	1.886462	-0.461802	-4.058926	-0.000000	0.000000	1.793437	38.505963	-12.240975	0.000000	0.000000	0.000000	6.209208	0.000000	0.000000
1767730035.044992685	0.227675	0.270182	-0.008507	-0.000000	-0.000000	-0.187748	0.691013	-0.467246	0.019556	0.000000	-0.000000	0.434755	1.910340	-0.396699	-4.057271	-0.000000	0.000000	1.828635	39.319399	-12.240975	0.000000	0.000000	0.000000	5.918525	0.000000	0.000000
1767730035.145002127	0.325135	0.276616	-0.008142	-0.000000	-0.000000	-1.784430	0.693933	-0.469383	0.018697	0.000000	-0.000000	0.425296	1.935979	-0.317085	-4.055366	-0.000000	0.000000	1.871947	42.895802	-12.240975	0.000000	0.000000	0.000000	3.751652	0.000000	0.000000
1767730035.244974136	0.391289	0.332701	-0.007727	-0.000000	0.000000	-3.067702	0.699691	-0.462547	0.017877	0.000000	-0.000000	0.273465	1.958127	-0.236220	-4.053544	0.000000	0.000000	1.906728	44.550488	-10.990114	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730035.344888449	0.427977	0.362692	-0.007336	-0.000000	0.000000	-0.971236	0.718215	-0.437449	0.017097	0.000000	-0.000000	0.077057	1.976276	-0.154230	-4.051802	0.000000	0.000000	1.922767	45.513538	-9.787494	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730035.444963455	0.515748	0.378059	-0.006969	-0.000000	0.000000	0.172124	0.752933	-0.399442	0.016357	0.000000	-0.000000	-0.037212	1.989815	-0.070652	-4.050136	0.000000	0.000000	1.923093	50.193063	-7.189260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730035.544963598	0.425490	0.296469	-0.006626	-0.000000	0.000000	0.349217	0.804595	-0.358126	0.015654	0.000000	-0.000000	-0.039056	1.998293	0.015672	-4.048542	0.000000	-0.000000	1.918470	51.020406	-6.960861	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730035.645106077	0.325202	0.220965	-0.006302	-0.000000	0.000000	0.104939	0.851405	-0.325961	0.014986	-0.000000	-0.000000	-0.007086	2.001588	0.090283	-4.047265	0.000000	-0.000000	1.916425	51.983455	-6.733768	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730035.744850636	0.246506	0.161221	-0.005998	-0.000000	0.000000	-0.046314	0.880941	-0.306728	0.014455	-0.000000	-0.000000	0.005731	2.001950	0.182543	-4.045794	0.000000	-0.000000	1.916493	52.779387	-6.960861	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730035.845108032	0.193166	0.140585	-0.005712	-0.000000	0.000000	-0.049648	0.908021	-0.289318	0.013845	-0.000000	-0.000000	0.006141	1.999332	0.277031	-4.044384	0.000000	-0.000000	1.917258	53.523229	-6.494851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730035.944830418	0.156655	0.116842	-0.005442	-0.000000	0.000000	-0.010364	0.928711	-0.274777	0.013265	-0.000000	-0.000000	0.001287	1.994443	0.373156	-4.043034	0.000000	-0.000000	1.917592	54.267075	-6.494851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730036.044795036	0.110431	0.103991	-0.005189	-0.000000	0.000000	0.003250	0.944875	-0.262662	0.012716	-0.000000	0.000000	-0.000404	1.987710	0.470500	-4.041739	0.000000	-0.000000	1.917595	54.267075	-6.216428	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767730036.144796848	0.073733	0.094351	-0.004949	0.000000	0.000000	2.618687	0.957466	-0.251771	0.012189	-0.000000	0.000000	-0.000533	1.979423	0.568808	-4.040499	0.000000	-0.000000	1.917532	54.267075	-5.893456	0.000000	0.000000	0.000000	3.362119	0.000000	0.000000
1767730036.244778395	0.010330	0.035933	-0.004721	0.000000	0.000000	2.750618	0.973385	-0.250359	0.011686	-0.000000	0.000000	0.132909	1.969829	0.668108	-4.039310	0.000000	-0.000000	1.923044	54.267075	-5.893456	0.000000	0.000000	0.000000	5.067422	0.000000	0.000000
1767730036.344773769	-0.044193	0.008087	-0.004508	0.000000	0.000000	3.164051	0.982120	-0.274381	0.011210	-0.000000	0.000000	0.332909	1.959365	0.768961	-4.038169	-0.000000	-0.000000	1.948002	54.267075	-5.191330	0.000000	0.000000	0.000000	8.487536	0.000000	0.000000
1767730036.445022106	-0.072778	0.008673	-0.004306	0.000000	-0.000000	0.497155	0.978719	-0.320384	0.010755	0.000000	0.000000	0.532909	1.948572	0.870984	-4.037075	-0.000000	-0.000000	1.992959	54.267075	-5.191330	0.000000	0.000000	0.000000	8.650349	0.000000	0.000000
1767730036.545120478	-0.035379	0.102249	-0.004115	0.000000	-0.000000	-0.552581	0.957135	-0.375641	0.010321	0.000000	0.000000	0.607672	1.937652	0.973384	-4.036024	-0.000000	-0.000000	2.051654	54.267075	-5.191330	0.000000	0.000000	0.000000	8.650349	0.000000	0.000000
1767730036.645310640	0.027921	0.204121	-0.003963	0.000000	-0.000000	-0.226139	0.927998	-0.419561	0.009907	0.000000	0.000000	0.569909	1.926307	1.075054	-4.035017	-0.000000	-0.000000	2.110947	54.267075	-5.191330	0.000000	0.000000	0.000000	8.650349	0.000000	0.000000
1767730036.745018005	0.094477	0.302165	-0.003789	0.000000	-0.000000	0.301054	0.905285	-0.448783	0.009508	0.000000	0.000000	0.541855	1.913577	1.175601	-4.034049	-0.000000	0.000000	2.166075	54.267075	-5.191330	0.000000	0.000000	0.000000	8.650349	0.000000	0.000000
1767730036.845107794	0.128410	0.356245	-0.003622	-0.000000	-0.000000	0.105602	0.891412	-0.468449	0.009126	0.000000	0.000000	0.563174	1.898278	1.275237	-4.033121	-0.000000	0.000000	2.221137	54.267075	-5.191330	0.000000	0.000000	0.000000	8.650349	0.000000	0.000000
