time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764799253.329872608	0.053016	-0.258630	-0.144194	0.000000	0.000000	0.000000	0.074709	-0.049939	0.300390	0.261667	0.201462	0.128498	1.290852	-0.713604	-1.805426	0.097852	0.032884	2.247860	2.007204	-18.123913	26.975821	0.000000	0.000000	0.000000
1764799253.331146717	0.161241	-0.217784	0.061622	1.387602	-0.593707	-0.949219	0.074709	-0.049939	0.300390	0.261667	0.201462	0.128498	1.290852	-0.713604	-1.805426	0.097852	0.032884	2.247860	2.007204	-18.123913	26.975821	0.000000	0.000000	0.000000
1764799253.341418743	0.016970	-0.237972	-0.108563	0.556016	-0.809596	-0.024208	0.070971	-0.054132	0.296626	0.277689	0.194607	0.117539	1.291245	-0.711314	-1.799734	0.103839	0.036420	2.250371	2.007204	-18.123913	26.975821	0.000000	0.000000	0.000000
1764799253.359672070	0.018965	-0.195405	-0.156362	-0.008064	-0.813910	0.514703	0.071766	-0.055830	0.300228	0.277528	0.178368	0.127808	1.291573	-0.708944	-1.793966	0.109407	0.039301	2.253412	1.510195	-18.870433	26.449362	0.000000	0.000000	0.000000
1764799253.361370564	0.165509	-0.309559	-0.109692	0.000000	0.000000	0.000000	0.071766	-0.055830	0.300228	0.277528	0.178368	0.127808	1.291573	-0.708944	-1.793966	0.109407	0.039301	2.253412	1.510195	-18.870433	26.449362	0.000000	0.000000	0.000000
1764799253.371240616	0.054847	-0.182957	-0.162147	0.479792	-0.476051	0.189701	0.071766	-0.055830	0.300228	0.277528	0.178368	0.127808	1.291573	-0.708944	-1.793966	0.109407	0.039301	2.253412	1.510195	-18.870433	26.449362	0.000000	0.000000	0.000000
1764799253.388145685	0.022731	-0.313081	0.036656	0.628869	-0.623965	0.248643	0.068663	-0.065285	0.290456	0.290374	0.165621	0.132887	1.292249	-0.706405	-1.788532	0.115680	0.042066	2.256541	1.258075	-19.240313	26.199980	0.000000	0.000000	0.000000
1764799253.391668558	0.171805	-0.239246	-0.175022	-0.888243	-4.267518	0.364955	0.068663	-0.065285	0.290456	0.290374	0.165621	0.132887	1.292249	-0.706405	-1.788532	0.115680	0.042066	2.256541	1.258075	-19.240313	26.199980	0.000000	0.000000	0.000000
1764799253.401494980	0.132228	-0.413498	-0.240382	0.753112	-0.343524	0.701312	0.063824	-0.057994	0.294243	0.278517	0.108653	0.137759	1.292456	-0.705311	-1.785642	0.118424	0.042415	2.258027	1.010329	-19.598148	25.953349	0.000000	0.000000	0.000000
1764799253.419401884	0.194713	-0.268279	-0.165243	1.630016	2.361678	0.725700	0.075233	-0.078954	0.288786	0.311261	0.156094	0.152337	1.293495	-0.700939	-1.777549	0.128289	0.046933	2.263324	0.758194	-19.966207	25.699928	0.000000	0.000000	0.000000
1764799253.421582937	0.093233	-0.297984	-0.006079	0.000000	0.000000	0.000000	0.075233	-0.078954	0.288786	0.311261	0.156094	0.152337	1.293495	-0.700939	-1.777549	0.128289	0.046933	2.263324	0.758194	-19.966207	25.699928	0.000000	0.000000	0.000000
1764799253.432094574	0.119269	-0.301517	-0.111664	-1.400478	-4.194501	1.194326	0.075233	-0.078954	0.288786	0.311261	0.156094	0.152337	1.293869	-0.699848	-1.774913	0.130940	0.046632	2.265272	0.504180	-20.339774	25.442077	0.000000	0.000000	0.000000
1764799253.440752745	0.134014	-0.133602	-0.148047	-1.575669	-2.281657	-1.021382	0.061588	-0.071465	0.283547	0.284414	0.075687	0.175232	1.293869	-0.699848	-1.774913	0.130940	0.046632	2.265272	0.504180	-20.339774	25.442077	0.000000	0.000000	0.000000
1764799253.450837374	0.110003	-0.429489	-0.088820	1.041482	1.002399	-3.875451	0.067027	-0.061973	0.279236	0.281728	0.113330	0.133193	1.294004	-0.698621	-1.772264	0.133813	0.048023	2.266388	0.255452	-20.699894	25.187043	0.000000	0.000000	0.000000
1764799253.461194277	0.055532	-0.203697	0.055338	1.016013	-0.846018	2.766575	0.063213	-0.064746	0.275855	0.305703	0.096177	0.096012	1.294355	-0.697338	-1.769537	0.137334	0.048767	2.267118	0.003578	-21.058930	24.926134	0.000000	0.000000	0.000000
1764799253.479564190	-0.015963	-0.138755	-0.271480	0.262394	-0.360018	5.873228	0.069860	-0.084287	0.284867	0.310915	0.089026	0.212668	1.295371	-0.694204	-1.764218	0.143820	0.049448	2.273707	-0.361717	-21.412868	24.662096	0.000000	0.000000	0.000000
1764799253.481056690	0.189111	-0.343645	-0.193232	1.550298	0.946575	-3.299509	0.069860	-0.084287	0.284867	0.310915	0.089026	0.212668	1.295371	-0.694204	-1.764218	0.143820	0.049448	2.273707	-0.361717	-21.412868	24.662096	0.000000	0.000000	0.000000
1764799253.492551565	0.072393	-0.165796	-0.087269	0.773240	0.472122	-1.645691	0.071274	-0.093183	0.280615	0.331049	0.101320	0.169816	1.296412	-0.691085	-1.759123	0.150982	0.051321	2.276554	-0.725821	-21.758599	24.397272	0.000000	0.000000	0.000000
1764799253.507095575	0.108556	-0.376113	-0.038456	-0.791421	-1.338794	3.000674	0.071274	-0.093183	0.280615	0.331049	0.101320	0.169816	1.297695	-0.687443	-1.754347	0.157259	0.051475	2.282234	-0.725821	-21.758599	24.397272	0.000000	0.000000	0.000000
1764799253.511132240	0.063823	-0.258608	-0.084998	-1.032231	-1.746155	3.913702	0.078287	-0.111318	0.274279	0.316344	0.076444	0.225571	1.297695	-0.687443	-1.754347	0.157259	0.051475	2.282234	-1.090594	-22.099536	24.129060	0.000000	0.000000	0.000000
1764799253.521341562	0.149349	-0.272313	-0.147123	-3.059870	-2.209543	-0.511881	0.078287	-0.111318	0.274279	0.316344	0.076444	0.225571	1.297695	-0.687443	-1.754347	0.157259	0.051475	2.282234	-1.090594	-22.099536	24.129060	0.000000	0.000000	0.000000
1764799253.540164948	0.103901	-0.258297	-0.136968	-4.354863	-3.144663	-0.728518	0.064824	-0.068298	0.265410	0.227508	0.012295	0.210709	1.298238	-0.685005	-1.749191	0.161744	0.050735	2.286058	-1.460145	-22.439448	23.854271	0.000000	0.000000	0.000000
1764799253.541740894	0.024035	-0.102212	0.080220	0.956216	-0.227746	0.551046	0.064824	-0.068298	0.265410	0.227508	0.012295	0.210709	1.298238	-0.685005	-1.749191	0.161744	0.050735	2.286058	-1.460145	-22.439448	23.854271	0.000000	0.000000	0.000000
1764799253.551054239	-0.046363	-0.110001	-0.025252	0.544052	-0.129579	0.313525	0.067519	-0.083933	0.272679	0.237920	0.009815	0.216710	1.299261	-0.682007	-1.744294	0.166701	0.050178	2.290283	-1.821261	-22.766300	23.582675	0.000000	0.000000	0.000000
1764799253.560879707	0.162677	-0.283968	-0.265724	2.375767	-0.089245	0.358643	0.067519	-0.083933	0.272679	0.237920	0.009815	0.216710	1.299261	-0.682007	-1.744294	0.166701	0.050178	2.290283	-2.183666	-23.089084	23.306941	0.000000	0.000000	0.000000
1764799253.569113731	0.168967	-0.432486	-0.252612	0.466589	0.128922	0.157548	0.073366	-0.099551	0.267403	0.280826	0.008203	0.223187	1.299853	-0.680254	-1.741898	0.170116	0.049852	2.292605	-2.183666	-23.089084	23.306941	0.000000	0.000000	0.000000
1764799253.588106394	0.114700	-0.126679	-0.045534	-1.376279	0.233402	-0.099680	0.072038	-0.107029	0.263891	0.250624	0.013325	0.220999	1.301045	-0.677057	-1.737168	0.175348	0.048698	2.297253	-2.549977	-23.410040	23.024894	0.000000	0.000000	0.000000
1764799253.591058016	0.083264	-0.353969	-0.157528	1.435644	-1.751139	0.453816	0.072038	-0.107029	0.263891	0.250624	0.013325	0.220999	1.301045	-0.677057	-1.737168	0.175348	0.048698	2.297253	-2.549977	-23.410040	23.024894	0.000000	0.000000	0.000000
1764799253.601445675	0.097954	-0.104574	-0.168689	-1.263457	-1.790174	0.589947	0.070489	-0.109774	0.265268	0.269774	-0.010034	0.227053	1.301684	-0.675413	-1.734781	0.178339	0.047961	2.299486	-2.909018	-23.719466	22.745065	0.000000	0.000000	0.000000
1764799253.611349106	0.261233	-0.287396	-0.090393	-1.465573	-2.097885	0.737487	0.071781	-0.103821	0.258815	0.224987	-0.022999	0.232970	1.302184	-0.673823	-1.732474	0.180278	0.047169	2.301809	-3.273215	-24.028124	22.457672	0.000000	0.000000	0.000000
1764799253.623935699	-0.018967	-0.189912	0.019428	0.441946	-1.573166	0.700354	0.068128	-0.113906	0.253661	0.236814	-0.057215	0.243639	1.302931	-0.672138	-1.730264	0.182897	0.045798	2.304170	-3.273215	-24.028124	22.457672	0.000000	0.000000	0.000000
1764799253.630923271	0.109606	-0.311971	-0.196878	-0.180538	0.194554	0.172803	0.072146	-0.113688	0.256938	0.233638	-0.053793	0.246679	1.304110	-0.668776	-1.725709	0.187640	0.043919	2.308822	-3.566008	-24.328058	22.169955	0.000000	0.000000	0.000000
1764799253.641526937	0.189931	-0.128927	-0.277170	0.910928	0.240098	-2.183226	0.072146	-0.113688	0.256938	0.233638	-0.053793	0.246679	1.304110	-0.668776	-1.725709	0.187640	0.043919	2.308822	-3.566008	-24.328058	22.169955	0.000000	0.000000	0.000000
1764799253.651412964	0.146045	-0.423239	-0.056815	0.755463	-1.537796	0.085269	0.066043	-0.122807	0.245543	0.252302	-0.048873	0.201945	1.304962	-0.667030	-1.723599	0.190529	0.043161	2.310345	-3.746552	-24.615886	21.885469	0.000000	0.000000	0.000000
1764799253.661799431	0.211333	-0.062200	-0.126923	-1.026247	-2.878354	2.650980	0.072748	-0.118224	0.252484	0.248953	-0.084968	0.248408	1.306108	-0.663611	-1.719098	0.195561	0.039723	2.315568	-3.929887	-24.903143	21.592768	0.000000	0.000000	0.000000
1764799253.677693605	0.103183	-0.194620	-0.045020	-1.177510	-1.971603	1.156886	0.071467	-0.118068	0.246807	0.225332	-0.124518	0.271615	1.306792	-0.661877	-1.716923	0.197746	0.037466	2.318225	-4.111454	-25.177533	21.298942	0.000000	0.000000	0.000000
1764799253.681859493	0.033791	-0.264503	-0.137654	2.145317	1.585521	-2.232514	0.071467	-0.118068	0.246807	0.225332	-0.124518	0.271615	1.306792	-0.661877	-1.716923	0.197746	0.037466	2.318225	-4.111454	-25.177533	21.298942	0.000000	0.000000	0.000000
1764799253.691068411	0.080684	-0.345746	-0.179024	-0.186808	0.609801	1.089851	0.071258	-0.128861	0.244674	0.254025	-0.103312	0.241755	1.308437	-0.658189	-1.712747	0.203573	0.034998	2.322075	-4.111454	-25.177533	21.298942	0.000000	0.000000	0.000000
1764799253.710157394	0.087701	-0.316318	-0.121017	-1.623053	-0.188672	2.899373	0.082382	-0.125044	0.253119	0.220046	-0.107262	0.302455	1.308992	-0.656294	-1.710487	0.205528	0.033189	2.325375	-4.470793	-25.679630	20.705205	0.000000	0.000000	0.000000
1764799253.712003946	0.112405	0.042131	-0.127582	1.011856	-0.576238	-1.934776	0.082382	-0.125044	0.253119	0.220046	-0.107262	0.302455	1.308992	-0.656294	-1.710487	0.205528	0.033189	2.325375	-4.470793	-25.679630	20.705205	0.000000	0.000000	0.000000
1764799253.721204042	0.046975	-0.265029	-0.016922	0.563104	-0.320680	-1.076714	0.080637	-0.126826	0.247397	0.231223	-0.113628	0.281082	1.310381	-0.652612	-1.706299	0.210563	0.029739	2.330003	-4.470793	-25.679630	20.705205	0.000000	0.000000	0.000000
1764799253.731853962	0.128546	-0.158689	-0.324763	0.738746	-1.345752	0.419470	0.080637	-0.126826	0.247397	0.231223	-0.113628	0.281082	1.310381	-0.652612	-1.706299	0.210563	0.029739	2.330003	-4.648614	-25.921224	20.405031	0.000000	0.000000	0.000000
1764799253.741949081	0.087611	0.034909	-0.129121	2.241361	-0.894871	-0.405368	0.078135	-0.136377	0.244288	0.246549	-0.141545	0.289784	1.312019	-0.648859	-1.702335	0.215815	0.025271	2.335002	-4.648614	-25.921224	20.405031	0.000000	0.000000	0.000000
1764799253.763130665	0.064857	-0.316551	0.124183	2.580784	-0.003343	-1.007327	0.078839	-0.146822	0.237031	0.301326	-0.141616	0.268404	1.313762	-0.644767	-1.698337	0.222400	0.021813	2.339427	-5.001538	-26.386993	19.795862	0.000000	0.000000	0.000000
