time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	pose_valid	pose_age	twist_valid	twist_age	wrench_valid	wrench_age
1764880622.872538805	-0.064244	-0.014281	-0.047209	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.115709	0	0.115893	1	0.007857
1764880622.881220818	-0.064414	-0.014545	-0.046574	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.107027	0	0.107211	1	0.000825
1764880622.896299362	-0.064553	-0.014802	-0.045945	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.091948	0	0.092133	1	0.015903
1764880622.902023554	-0.064661	-0.015051	-0.045321	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.086224	0	0.086408	1	0.021627
1764880622.911048651	-0.064736	-0.015294	-0.044704	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.077199	0	0.077383	1	0.019528
1764880622.915961027	-0.064780	-0.015530	-0.044092	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.072287	0	0.072471	1	0.014616
1764880622.927625179	-0.064792	-0.015759	-0.043485	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.060622	0	0.060807	1	0.002952
1764880622.943174362	-0.064773	-0.015981	-0.042885	nan	nan	nan	0.036755	0.016947	-0.008748	0.026447	-0.016183	-0.028202	1.560117	0.319552	-2.075943	-0.019163	-0.066669	-1.343597	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.045073	1	0.045258	1	0.012598
1764880622.948124409	-0.064722	-0.016197	-0.042290	0.000000	0.000000	0.000000	0.036755	0.016947	-0.008748	0.026447	-0.016183	-0.028202	1.560117	0.319552	-2.075943	-0.019163	-0.066669	-1.343597	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.040123	1	0.040308	1	0.017548
1764880622.956892490	-0.064639	-0.016405	-0.041702	0.000000	0.000000	0.000000	0.036755	0.016947	-0.008748	0.026447	-0.016183	-0.028202	1.560117	0.319552	-2.075943	-0.019163	-0.066669	-1.343597	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.031355	1	0.031539	1	0.024582
