time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764948972.744826555	-0.220398	-0.124659	-0.090369	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	18.083620	0.000000	0.000000	0.000000	0.000000	0.000000
1764948972.752600193	-0.124566	-0.117734	-0.081477	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	19.832362	0.000000	0.000000	0.000000	0.000000	0.000000
1764948972.758187771	-0.034752	-0.110847	-0.073068	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	20.461468	0.000000	0.000000	0.000000	0.000000	0.000000
1764948972.770075321	0.049044	-0.104000	-0.065143	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	22.537078	0.000000	0.000000	0.000000	0.000000	0.000000
1764948972.792655230	0.126821	-0.097192	-0.057702	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.710165	1.813400	0.000000	0.000000	0.000000	0.000000
1764948972.794037104	0.198580	-0.090422	-0.050744	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.710165	1.813400	0.000000	0.000000	0.000000	0.000000
1764948972.798472881	0.264320	-0.083691	-0.044271	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	2.375736	0.000000	0.000000	0.000000	0.000000
1764948972.817532778	0.324042	-0.076999	-0.038281	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	3.196679	0.000000	0.000000	0.000000	0.000000
1764948972.824871540	0.377746	-0.070345	-0.032775	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	3.472002	0.000000	0.000000	0.000000	0.000000
1764948972.827960014	0.425431	-0.063731	-0.027753	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	3.652365	0.000000	0.000000	0.000000	0.000000
1764948972.842082262	0.467097	-0.057155	-0.023214	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.158470	0.000000	0.000000	0.000000	0.000000
1764948972.856037140	0.502745	-0.050618	-0.019159	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.222802	0.000000	0.000000	0.000000	0.000000
1764948972.858641148	0.532375	-0.044120	-0.015588	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	0.000000
1764948972.868352413	0.555987	-0.037660	-0.012501	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	0.000000
1764948972.879833698	0.573580	-0.031240	-0.009898	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	0.000000
1764948972.897948503	0.585154	-0.024858	-0.007778	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	0.000000
1764948972.900688410	0.584208	-0.015706	-0.005862	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	0.000000
1764948972.910573006	0.576506	-0.005556	-0.001216	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	0.943761
1764948972.920336485	0.558956	0.003045	-0.000441	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	1.370736
1764948972.929288149	0.532660	0.012717	0.000751	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	1.689739
1764948972.947522879	0.497258	0.016575	-0.004536	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	2.343503
1764948972.947532654	0.457301	0.027016	-0.005349	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	2.343503
1764948972.957320452	0.424404	0.032939	-0.007911	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	2.573068
1764948972.976139545	0.390051	0.034924	-0.009880	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	2.886510
1764948972.979480982	0.355234	0.040991	-0.015661	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	2.938813
1764948972.986106157	0.323371	0.041453	-0.017564	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	3.030394
1764948972.997641325	0.293561	0.039852	-0.021993	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	3.112153
1764948973.007566452	0.263388	0.047061	-0.025131	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	3.216852
1764948973.020620108	0.243616	0.048796	-0.030441	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	3.353336
1764948973.028684139	0.225466	0.053658	-0.034549	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	3.398886
1764948973.037703991	0.205944	0.062447	-0.042087	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	3.435260
1764948973.048792124	0.189518	0.067544	-0.048758	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	3.520338
1764948973.059029818	0.172946	0.071519	-0.053190	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	3.570647
1764948973.072643757	0.156731	0.082836	-0.056351	0.000000	0.000000	0.000000	0.200279	-0.007218	0.008541	-0.007418	0.047006	0.217908	-0.249795	1.593278	-2.338985	-0.022758	-0.167959	-2.389756	25.736726	4.244286	0.000000	0.000000	0.000000	3.611149
