time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	norm_dof	norm_value
1761685595.253106833	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685595.352804422	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685595.453035593	-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685595.552757025	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685595.652753830	-0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685595.752810717	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685595.852766037	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685595.952811480	-0.000000	0.000000	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685596.052928925	-0.000000	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685596.152744293	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685596.252787590	-0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685596.352874279	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761685596.452978849	-0.000000	0.000000	-0.000000	0.041460	-0.000000	-0.000000	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027147	0.199605	-1.976129	-0.000000	-0.000000	0.000204	0.000000	0.000000	0.000000	0.044736	0.000000	0.000000	0.000000	0.000000
1761685596.552727461	-0.000000	-0.000019	0.000081	0.192477	-0.000085	-0.000000	0.000000	0.000090	-0.000225	0.003455	0.000000	0.000000	0.027147	0.199609	-1.976140	0.000208	0.000013	0.000204	0.000000	0.000000	0.000000	0.214645	0.000000	0.000000	0.000000	0.000000
1761685596.652781725	-0.000000	-0.000093	0.000415	0.297533	-0.000071	-0.000000	0.000000	0.000460	-0.001143	0.017669	-0.000005	0.000000	0.027147	0.199636	-1.976205	0.001215	0.000012	0.000204	0.000000	0.000000	0.000000	0.358437	0.000000	0.000000	0.000000	0.000000
1761685596.752835035	-0.000000	-0.000223	0.001047	0.354775	-0.000047	-0.000000	0.000000	0.001138	-0.002819	0.043921	-0.000013	0.000000	0.027147	0.199719	-1.976410	0.004396	0.000011	0.000204	0.000000	0.000000	0.000000	0.489787	0.000000	0.000000	0.000000	0.000000
1761685596.852730989	-0.000000	-0.000375	0.001876	0.395332	-0.000023	-0.000000	0.000000	0.001996	-0.004916	0.077490	-0.000018	-0.000000	0.027147	0.199884	-1.976810	0.010683	0.000010	0.000204	0.000000	0.000000	0.000000	0.645442	0.000000	0.000000	0.000000	0.000000
1761685596.952744007	-0.000000	-0.000530	0.002857	0.391364	-0.000003	0.000000	0.000001	0.002978	-0.007267	0.116347	-0.000021	-0.000000	0.027147	0.200150	-1.977433	0.020671	0.000008	0.000204	0.000000	0.000000	0.000000	0.799425	0.000000	0.000000	0.000000	0.000000
1761685597.052735090	-0.000000	-0.000668	0.003859	0.350480	0.000013	0.000000	0.000001	0.003958	-0.009544	0.155550	-0.000022	-0.000000	0.027147	0.200529	-1.978283	0.034595	0.000006	0.000204	0.000000	0.000000	0.000000	0.953805	0.000000	0.000000	0.000000	0.000000
1761685597.152741909	-0.000000	-0.000778	0.004761	0.273786	0.000025	0.000000	0.000001	0.004843	-0.011493	0.191279	-0.000021	-0.000000	0.027147	0.201023	-1.979333	0.052263	0.000003	0.000204	0.000000	0.000000	0.000000	1.099425	0.000000	0.000000	0.000000	0.000000
