time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	norm_dof	norm_value
1761693429.519309282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693429.616735697	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693429.716462374	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693429.816355228	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693429.916389942	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693430.016371727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693430.116444588	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693430.216386318	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693430.316363573	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693430.416611195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693430.516345739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693430.616416454	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693430.716387033	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693430.816348791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693430.916560173	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693431.016393900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693431.116361380	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693431.216361523	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693431.316386223	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693431.416528225	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693431.516509056	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693431.616500378	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693431.716373682	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693431.816355944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693431.916349888	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761693432.016628027	0.000000	0.000000	0.000000	0.680977	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693432.116481304	-0.000000	-0.000285	0.001385	0.573658	-0.000000	-0.000000	0.000000	0.001480	-0.003688	0.056748	0.000000	0.000000	0.000000	0.000074	-2.000184	0.002837	0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693432.216430426	-0.000000	-0.000533	0.002919	0.399690	-0.000000	-0.000000	0.000000	0.003000	-0.007416	0.115903	-0.000000	0.000000	0.000000	0.000317	-2.000774	0.012037	-0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693432.316432953	-0.000000	-0.000682	0.004033	0.206197	0.000000	-0.000000	0.000000	0.004075	-0.009934	0.158771	-0.000000	0.000000	0.000000	0.000701	-2.001665	0.026249	-0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693432.417096615	-0.000000	-0.000755	0.004573	0.021364	0.000000	-0.000000	0.000000	0.004645	-0.011097	0.182616	-0.000000	0.000000	0.000000	0.001182	-2.002719	0.043652	-0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693432.516447783	-0.000000	-0.000770	0.004529	-0.135462	0.000000	-0.000000	0.000000	0.004731	-0.010984	0.187833	-0.000000	0.000000	0.000000	0.001713	-2.003805	0.062346	-0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693432.616478920	0.000000	-0.000743	0.004100	-0.236469	0.000000	0.000000	-0.000000	0.004401	-0.009816	0.176900	-0.000000	-0.000000	0.000000	0.002242	-2.004807	0.080600	-0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693432.716722488	0.000000	-0.000662	0.003182	-0.318137	0.000000	0.000000	-0.000000	0.003790	-0.007966	0.154937	0.000000	-0.000000	0.000000	0.002724	-2.005645	0.097079	-0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693432.816535950	0.000000	-0.000567	0.002364	-0.380215	0.000000	0.000000	-0.000000	0.002962	-0.005650	0.124484	0.000000	-0.000000	0.000000	0.003123	-2.006272	0.110853	-0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693432.916692257	0.000000	-0.000413	0.001307	-0.399565	-0.000000	0.000000	-0.000000	0.001968	-0.002993	0.087497	0.000000	-0.000000	0.000000	0.003408	-2.006654	0.121187	0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693433.016611576	0.000000	-0.000223	0.000268	-0.388693	-0.000000	0.000000	-0.000000	0.000909	-0.000266	0.047863	0.000000	-0.000000	0.000000	0.003560	-2.006776	0.127638	0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693433.116545916	0.000000	-0.000013	-0.000691	-0.353238	-0.000000	0.000000	-0.000000	-0.000128	0.002316	0.008813	-0.000000	-0.000000	-0.000000	0.003573	-2.006648	0.130139	0.000000	0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693433.216867685	0.000000	0.000204	-0.001581	-0.296202	-0.000000	0.000000	-0.000000	-0.001073	0.004597	-0.027102	-0.000000	-0.000000	-0.000000	0.003458	-2.006293	0.128901	0.000000	-0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693433.316542625	0.000000	0.000410	-0.002336	-0.216670	-0.000000	0.000000	-0.000000	-0.001866	0.006438	-0.057673	-0.000000	-0.000000	-0.000000	0.003233	-2.005747	0.124368	0.000000	-0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693433.416519642	0.000000	0.000578	-0.002888	-0.124150	-0.000000	0.000000	-0.000000	-0.002445	0.007709	-0.080665	-0.000000	-0.000000	-0.000000	0.002925	-2.005057	0.117204	0.000000	-0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693433.516496181	0.000000	0.000684	-0.003187	-0.029879	-0.000000	0.000000	-0.000000	-0.002774	0.008334	-0.094622	-0.000000	-0.000000	-0.000000	0.002570	-2.004280	0.108259	0.000000	-0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693433.616449594	0.000000	0.000717	-0.003220	0.056411	-0.000000	0.000000	-0.000000	-0.002844	0.008314	-0.099181	-0.000000	-0.000000	-0.000000	0.002202	-2.003477	0.098465	0.000000	-0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693433.716547489	-0.000000	0.000679	-0.003011	0.127743	0.000000	-0.000000	0.000000	-0.002678	0.007718	-0.094978	-0.000000	0.000000	-0.000000	0.001853	-2.002706	0.088732	0.000000	-0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693433.816719532	-0.000000	0.000585	-0.002609	0.180160	0.000000	-0.000000	0.000000	-0.002317	0.006659	-0.083393	-0.000000	0.000000	-0.000000	0.001545	-2.002016	0.079861	0.000000	-0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693433.916534901	-0.000000	0.000454	-0.002077	0.212306	0.000000	-0.000000	0.000000	-0.001817	0.005277	-0.066251	-0.000000	0.000000	-0.000000	0.001298	-2.001446	0.072485	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
1761693434.016605377	-0.000000	0.000306	-0.001479	0.224711	0.000000	-0.000000	0.000000	-0.001233	0.003716	-0.045556	-0.000000	0.000000	-0.000000	0.001120	-2.001019	0.067045	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.734774	0.000000	0.000000	0.000000	0.000000
