time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	pose_valid	pose_age	twist_valid	twist_age	wrench_valid	wrench_age
1764795841.835956812	0.244786	0.125567	0.099362	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	46.036157	7.875469	24.111979	0.000000	0.000000	0.000000	0	0.125103	0	0.125680	1	0.004780
1764795841.839986086	0.320974	0.113130	0.073765	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	46.036157	7.875469	24.111979	0.000000	0.000000	0.000000	0	0.121074	0	0.121650	1	0.000751
1764795841.849727869	0.390017	0.101128	0.048728	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	47.431770	6.792270	21.053250	0.000000	0.000000	0.000000	0	0.111332	0	0.111909	1	0.007858
1764795841.872667074	0.451913	0.089564	0.024252	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	48.758697	5.922177	18.016890	0.000000	0.000000	0.000000	0	0.088393	0	0.088969	1	0.001258
1764795841.877235651	0.506663	0.078435	0.000336	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	48.758697	5.922177	18.016890	0.000000	0.000000	0.000000	0	0.083825	0	0.084401	1	0.003310
1764795841.884392500	0.554268	0.067744	-0.023019	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	50.096331	4.947628	14.291671	0.000000	0.000000	0.000000	0	0.076668	0	0.077244	1	0.006937
1764795841.890647411	0.594726	0.057488	-0.045814	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	50.096331	4.947628	14.291671	0.000000	0.000000	0.000000	0	0.070413	0	0.070989	1	0.000682
1764795841.900055170	0.628039	0.047669	-0.068048	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	51.405622	4.212062	11.096697	0.000000	0.000000	0.000000	0	0.061005	0	0.061581	1	0.008220
1764795841.924098492	0.654205	0.038286	-0.089721	nan	nan	nan	0.158300	0.076191	0.162812	-0.205136	0.069996	-0.081625	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	52.673250	3.244365	8.123968	0.000000	0.000000	0.000000	1	0.036962	1	0.037538	1	0.000556
1764795841.924111366	0.673226	0.029340	-0.110834	0.000000	0.000000	0.000000	0.158300	0.076191	0.162812	-0.205136	0.069996	-0.081625	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	52.673250	3.244365	8.123968	0.000000	0.000000	0.000000	1	0.036949	1	0.037525	1	0.000543
1764795841.929026842	0.685101	0.020831	-0.131387	0.000000	0.000000	0.000000	0.158300	0.076191	0.162812	-0.205136	0.069996	-0.081625	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	52.673250	3.244365	8.123968	0.000000	0.000000	0.000000	1	0.032033	1	0.032610	1	0.004373
1764795841.944824696	0.689830	0.012757	-0.151379	0.000000	0.000000	0.000000	0.158300	0.076191	0.162812	-0.205136	0.069996	-0.081625	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	53.807195	2.053408	4.882770	0.000000	0.000000	0.000000	1	0.016236	1	0.016812	1	0.004064
1764795841.949931622	0.687412	0.005120	-0.170810	0.000000	0.000000	0.000000	0.158300	0.076191	0.162812	-0.205136	0.069996	-0.081625	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.011129	1	0.011705	1	0.004094
1764795841.961626053	0.677849	-0.002080	-0.189681	-0.540427	0.901063	0.612244	0.158300	0.076191	0.162812	-0.205136	0.069996	-0.081625	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.000566	1	0.000010	1	0.000167
1764795841.971749783	0.661140	-0.008844	-0.207992	0.809568	0.500403	0.706181	0.172433	0.078159	0.159801	-0.216928	0.089656	-0.068267	-0.341773	-0.327457	-1.418998	-0.093341	-0.043451	2.714392	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.009233	1	0.009544	1	0.010290
1764795841.992193699	0.637285	-0.015172	-0.225742	1.554184	-0.185602	0.350000	0.181016	0.070588	0.156099	-0.180390	0.085292	-0.060039	-0.343790	-0.327398	-1.417434	-0.094776	-0.042681	2.713790	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.000732	1	0.000714	1	0.019855
1764795841.995259047	0.612132	-0.015115	-0.261755	0.018398	2.924284	1.644869	0.181016	0.070588	0.156099	-0.180390	0.085292	-0.060039	-0.343790	-0.327398	-1.417434	-0.094776	-0.042681	2.713790	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.003798	1	0.003779	1	0.016790
1764795841.998368025	0.573075	-0.026473	-0.297242	3.362303	0.479252	1.090363	0.196066	0.072930	0.150859	-0.180276	0.103348	-0.049883	-0.346004	-0.327354	-1.415979	-0.096541	-0.041521	2.713283	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.002650	1	0.002720	1	0.013681
