time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764795841.835956812	-0.539957	1.569687	0.099362	-1.837465	1.303156	0.251456	-0.066436	0.005521	-0.004583	0.000695	-0.045256	-0.052389	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	46.036157	7.875469	24.111979	0.000000	0.000000	0.000000
1764795841.839986086	-0.451736	1.608334	0.073765	-1.701000	1.244830	0.261091	-0.048846	0.008325	0.003192	-0.010569	-0.034952	-0.048617	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	46.036157	7.875469	24.111979	0.000000	0.000000	0.000000
1764795841.849727869	-0.369858	1.646140	0.048728	-1.567647	1.187658	0.270070	-0.031792	0.011017	0.010700	-0.021212	-0.024954	-0.044904	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	46.780896	7.297443	22.479753	0.000000	0.000000	0.000000
1764795841.872667074	-0.294324	1.683106	0.024252	-1.437405	1.131638	0.278393	-0.015276	0.013597	0.017941	-0.031234	-0.015263	-0.041247	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	48.656507	5.989185	18.250729	0.000000	0.000000	0.000000
1764795841.877235651	-0.225133	1.719232	0.000336	-1.310276	1.076771	0.286059	0.000702	0.016066	0.024917	-0.040635	-0.005879	-0.037649	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	49.013118	5.736815	17.308345	0.000000	0.000000	0.000000
1764795841.884392500	-0.162285	1.754518	-0.023019	-1.186259	1.023058	0.293068	0.016143	0.018423	0.031626	-0.049414	0.003198	-0.034108	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	49.563191	5.336054	15.776431	0.000000	0.000000	0.000000
1764795841.890647411	-0.105781	1.788965	-0.045813	-1.065354	0.970497	0.299422	0.031047	0.020668	0.038069	-0.057573	0.011969	-0.030625	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	50.043941	4.985798	14.437575	0.000000	0.000000	0.000000
1764795841.900055170	-0.055620	1.822571	-0.068048	-0.947561	0.919089	0.305119	0.045413	0.022801	0.044245	-0.065110	0.020434	-0.027200	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	50.770540	4.568855	12.646445	0.000000	0.000000	0.000000
1764795841.924098492	-0.011802	1.855337	-0.089721	-0.832881	0.868835	0.310160	0.059241	0.024823	0.050155	-0.072027	0.028591	-0.023833	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	52.630257	3.277186	8.224791	0.000000	0.000000	0.000000
1764795841.924111366	0.025672	1.887263	-0.110834	-0.721312	0.819733	0.314544	0.072532	0.026733	0.055799	-0.078322	0.036442	-0.020523	-0.337784	-0.327237	-1.422102	-0.088887	-0.045499	2.715668	52.631254	3.276425	8.222455	0.000000	0.000000	0.000000
