time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	norm_dof	norm_value
1761713264.147701979	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008414	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713264.246824503	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008414	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713264.346825838	-0.000002	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008414	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713264.446848869	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008414	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713264.547022104	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008414	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713264.647211790	-0.000002	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008414	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713264.746875048	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008414	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713264.846873045	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008414	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713264.946855545	-0.000002	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008414	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713265.046851397	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008414	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713265.147291899	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000013	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008415	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713265.246819258	-0.000002	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000012	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008416	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713265.347401857	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000012	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008417	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713265.448026896	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000012	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008418	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713265.546948433	-0.000002	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000012	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008419	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713265.646882057	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000012	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008420	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713265.746918917	-0.000002	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000012	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008421	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713265.846887589	-0.000002	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000011	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008422	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713265.946894407	-0.000002	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000011	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008423	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713266.046934843	-0.000001	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000011	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008425	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713266.146913052	-0.000001	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000011	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008426	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713266.246906042	-0.000001	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000011	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008427	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713266.346967697	-0.000001	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000011	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008428	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713266.446983576	-0.000001	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000011	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008429	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713266.546970129	-0.000001	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000010	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008430	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713266.647028446	-0.000001	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000010	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008431	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713266.747068882	-0.000001	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000010	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008432	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713266.847089052	-0.000001	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000010	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008433	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713266.947731972	-0.000001	0.000000	0.000000	0.000000	-0.000000	0.000000	0.000010	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008434	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713267.047016144	-0.000001	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000010	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008435	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761713267.146949530	-0.000001	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000010	-0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008436	-0.000000	-2.000886	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
