time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764621939.817997456	0.946964	0.000864	-0.066059	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	-0.004591	0.004914	-0.027107	nan	nan	nan	0.393270	-5.446942	253.083588	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.823681355	0.949291	0.000361	-0.067172	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	0.009882	0.013246	-0.024384	nan	nan	nan	0.400444	-5.438858	253.071915	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.830844164	0.958946	0.000953	-0.056769	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	-0.001975	0.012249	-0.020944	nan	nan	nan	0.404543	-5.433711	253.059731	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.840975761	0.930833	-0.008836	-0.062303	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	0.002350	0.004508	-0.022292	nan	nan	nan	0.407312	-5.429116	253.046089	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.850196123	0.938348	-0.011134	-0.065072	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	0.000344	0.015217	-0.018850	nan	nan	nan	0.413679	-5.425915	253.033997	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.869607687	0.935666	0.003413	-0.058834	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	0.004320	0.007980	-0.022184	nan	nan	nan	0.419444	-5.417500	253.022995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.869621754	0.930398	-0.006723	-0.066487	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	0.005578	0.012303	-0.015324	nan	nan	nan	0.423704	-5.408878	253.014938	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.880791903	0.948572	0.001199	-0.055396	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	0.002862	0.009099	-0.023341	nan	nan	nan	0.429626	-5.402215	253.002777	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.897387743	0.932047	-0.001622	-0.070908	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	0.000305	0.005320	-0.017893	nan	nan	nan	0.432207	-5.401048	252.991203	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.900712013	0.928212	-0.009026	-0.065090	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	-0.008444	0.011824	-0.014292	nan	nan	nan	0.432446	-5.394949	252.982277	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.910832167	0.937238	-0.003315	-0.069528	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	-0.003884	0.000331	-0.017646	nan	nan	nan	0.432940	-5.392187	252.973984	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.920455933	0.935536	-0.004473	-0.060202	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	-0.009003	0.006763	-0.019064	nan	nan	nan	0.432714	-5.391787	252.962936	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.930953264	0.930722	-0.001106	-0.049837	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	0.009337	0.005907	-0.025217	nan	nan	nan	0.436215	-5.386854	252.950508	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.947751760	0.940319	-0.008035	-0.069913	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	-0.004327	0.007980	-0.020430	nan	nan	nan	0.439750	-5.382031	252.937675	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.950469255	0.927488	-0.003587	-0.057827	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	-0.007472	0.012051	-0.022285	nan	nan	nan	0.440307	-5.375806	252.924927	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.960612535	0.927794	-0.000734	-0.065743	0.000000	0.000000	0.000000	-0.041425	-0.025643	-0.013691	0.000513	0.005151	-0.017431	nan	nan	nan	0.441613	-5.372002	252.914909	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.978285074	0.922052	-0.004952	-0.055344	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.003474	0.002972	-0.017424	nan	nan	nan	0.445168	-5.372959	252.905006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.980633736	0.936146	-0.003303	-0.055405	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.005412	0.011361	-0.024005	nan	nan	nan	0.444274	-5.363933	252.892441	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621939.990176916	0.938158	-0.010127	-0.070270	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.001999	0.011185	-0.024078	nan	nan	nan	0.445573	-5.358113	252.878242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.000776291	0.930816	-0.007537	-0.065064	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.000446	0.003525	-0.021153	nan	nan	nan	0.448586	-5.355009	252.866028	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.010479927	0.917417	0.015883	-0.043282	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.009709	0.009252	-0.010330	nan	nan	nan	0.446488	-5.351940	252.860832	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.027139664	0.920155	-0.004535	-0.066128	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.006164	0.011107	-0.013358	nan	nan	nan	0.445206	-5.342184	252.852951	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.030718088	0.932391	-0.008150	-0.081695	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.003679	0.016371	-0.013132	nan	nan	nan	0.448223	-5.334796	252.846390	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.040570974	0.932545	0.000679	-0.059218	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.005251	0.012187	-0.010662	nan	nan	nan	0.446240	-5.329104	252.837440	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.059955835	0.932003	-0.002382	-0.059553	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.009561	0.008371	-0.013099	nan	nan	nan	0.443861	-5.323331	252.833473	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.061152220	0.927039	-0.002437	-0.065057	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	0.002436	0.011049	-0.022799	nan	nan	nan	0.446298	-5.318294	252.821808	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.074632883	0.920059	-0.006097	-0.059546	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.012350	0.012084	-0.016237	nan	nan	nan	0.446291	-5.311674	252.811134	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.080309153	0.922953	-0.002738	-0.066438	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.004902	0.007936	-0.010219	nan	nan	nan	0.444711	-5.305357	252.806107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.095024824	0.905369	0.005150	-0.061288	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.013085	0.011654	-0.018367	nan	nan	nan	0.440656	-5.298367	252.794174	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.100520134	0.916706	-0.001379	-0.054704	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.013012	0.006007	-0.018364	nan	nan	nan	0.436677	-5.293771	252.785202	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.111058235	0.926113	0.006490	-0.063034	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.006982	0.020192	-0.014069	nan	nan	nan	0.436658	-5.284961	252.776596	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.120192766	0.932380	-0.006920	-0.060938	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.008680	0.006385	-0.008521	nan	nan	nan	0.432435	-5.279682	252.770630	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.130574465	0.918649	-0.003904	-0.056440	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.009315	0.005929	-0.008243	nan	nan	nan	0.429244	-5.275582	252.765991	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.147891760	0.909708	0.006594	-0.057435	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	0.000435	0.005245	-0.014348	nan	nan	nan	0.432245	-5.273876	252.759468	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.150500298	0.913301	0.001124	-0.058120	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.009318	0.002541	-0.000136	nan	nan	nan	0.430493	-5.271276	252.756325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.160975456	0.924210	0.004608	-0.070205	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.012622	-0.000593	-0.009364	nan	nan	nan	0.425563	-5.269276	252.753357	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.172457933	0.924180	-0.002865	-0.057126	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.010364	0.010124	-0.013056	nan	nan	nan	0.423193	-5.267824	252.748856	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.185949326	0.909776	0.008146	-0.053347	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.017975	0.017981	-0.011201	nan	nan	nan	0.417774	-5.258993	252.742439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.190642834	0.915356	-0.000072	-0.063369	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.014284	0.007695	-0.006609	nan	nan	nan	0.408170	-5.249829	252.734184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.200946093	0.899497	-0.002454	-0.058506	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.009980	0.006661	-0.019358	nan	nan	nan	0.407231	-5.249569	252.726898	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.209476233	0.908793	0.000869	-0.053316	0.000000	0.000000	0.000000	-0.007324	0.008382	-0.026533	-0.009528	0.005870	-0.018171	nan	nan	nan	0.405565	-5.243973	252.717346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.231344700	0.905476	0.012029	-0.056122	0.000000	0.000000	0.000000	-0.021598	0.003906	-0.041942	-0.005993	0.015069	-0.010951	nan	nan	nan	0.404541	-5.234862	252.709709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.233342886	0.912433	0.006722	-0.061929	0.000000	0.000000	0.000000	-0.021598	0.003906	-0.041942	-0.014585	0.002266	-0.013546	nan	nan	nan	0.400106	-5.233487	252.702568	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.240499735	0.907227	0.002810	-0.056409	0.000000	0.000000	0.000000	-0.021598	0.003906	-0.041942	-0.008419	0.006489	-0.009097	nan	nan	nan	0.396200	-5.232717	252.694847	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764621940.256905317	0.902626	0.024635	-0.049118	0.000000	0.000000	0.000000	-0.021598	0.003906	-0.041942	-0.010292	0.006205	-0.009346	nan	nan	nan	0.393589	-5.228320	252.691528	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
