time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764791838.785317421	0.315811	-0.012146	0.075389	0.000000	0.000000	0.000000	0.082843	0.077177	0.144439	-0.220625	-0.004756	-0.169667	0.342931	0.201197	-1.556527	-0.034170	-0.067827	-1.188923	41.100603	11.189586	34.412983	0.000000	0.000000	0.000000
1764791838.785362482	0.429015	-0.023390	-0.001809	0.000000	0.000000	0.000000	0.082843	0.077177	0.144439	-0.220625	-0.004756	-0.169667	0.342931	0.201197	-1.556527	-0.034170	-0.067827	-1.188923	41.100603	11.189586	34.412983	0.000000	0.000000	0.000000
1764791838.787426472	0.490614	0.039006	0.034829	0.000000	0.000000	0.000000	0.082843	0.077177	0.144439	-0.220625	-0.004756	-0.169667	0.342931	0.201197	-1.556527	-0.034170	-0.067827	-1.188923	41.100603	11.189586	34.412983	0.000000	0.000000	0.000000
1764791838.803798676	0.371698	-0.103593	-0.065361	0.000000	0.000000	0.000000	0.082843	0.077177	0.144439	-0.220625	-0.004756	-0.169667	0.344049	0.200734	-1.554911	-0.036354	-0.067987	-1.190689	42.542976	10.316250	31.552613	0.000000	0.000000	0.000000
1764791838.803822756	0.371069	0.073587	0.047726	-6.439917	0.465817	-0.731243	0.082843	0.077177	0.144439	-0.220625	-0.004756	-0.169667	0.344049	0.200734	-1.554911	-0.036354	-0.067987	-1.190689	42.542976	10.316250	31.552613	0.000000	0.000000	0.000000
1764791838.810961246	0.361416	-0.217759	0.024558	-3.257313	1.455187	0.451624	0.094236	0.085845	0.159905	-0.266752	-0.001420	-0.174904	0.346395	0.199827	-1.551648	-0.041845	-0.068080	-1.193986	42.542976	10.316250	31.552613	0.000000	0.000000	0.000000
1764791838.822263956	0.449737	-0.062785	-0.031682	0.405183	0.908208	1.093064	0.106542	0.086609	0.156318	-0.280694	0.022079	-0.161338	0.347657	0.199168	-1.550090	-0.044673	-0.067691	-1.195477	43.993009	9.409279	28.500051	0.000000	0.000000	0.000000
1764791838.843627214	0.441653	0.025171	0.074783	0.706885	-0.480834	0.120849	0.103370	0.078757	0.146916	-0.253516	0.028248	-0.139198	0.348879	0.198512	-1.548453	-0.047214	-0.067354	-1.196859	45.400928	8.458577	25.457230	0.000000	0.000000	0.000000
1764791838.849151134	0.468285	-0.108869	-0.140019	-0.797886	-1.864563	-1.844432	0.112454	0.083922	0.160454	-0.261688	0.009151	-0.158089	0.351261	0.197294	-1.545218	-0.051919	-0.067695	-1.200082	45.400928	8.458577	25.457230	0.000000	0.000000	0.000000
1764791838.853869200	0.417765	-0.114550	-0.281204	0.255477	1.862016	0.625686	0.112454	0.083922	0.160454	-0.261688	0.009151	-0.158089	0.351261	0.197294	-1.545218	-0.051919	-0.067695	-1.200082	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.865248919	0.393926	0.035179	-0.194335	1.174364	-0.457882	0.523966	0.119451	0.079049	0.157437	-0.257575	0.039125	-0.148017	0.352497	0.196477	-1.543564	-0.054463	-0.067051	-1.201560	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
