time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764791838.785317421	-0.688003	-0.401988	0.056237	-0.321558	0.772274	0.659674	0.083824	0.092413	0.173836	-0.263019	-0.015048	-0.205244	0.342931	0.201197	-1.556527	-0.034170	-0.067827	-1.188923	40.442302	11.574963	35.588609	0.000000	0.000000	0.000000
1764791838.785362482	-0.657838	-0.387516	0.051467	-0.265794	0.738569	0.658602	0.090249	0.091185	0.172397	-0.263579	-0.008811	-0.198125	0.342934	0.201196	-1.556524	-0.034175	-0.067828	-1.188927	40.446275	11.572637	35.581514	0.000000	0.000000	0.000000
1764791838.787426472	-0.632366	-0.372546	0.045894	-0.211120	0.705518	0.657205	0.096423	0.089909	0.170967	-0.263851	-0.002759	-0.191092	0.343136	0.201112	-1.556231	-0.034571	-0.067856	-1.189247	40.628256	11.466104	35.256524	0.000000	0.000000	0.000000
1764791838.803798676	-0.611587	-0.357078	0.039518	-0.157535	0.673120	0.655482	0.102166	0.088250	0.169831	-0.263844	0.003131	-0.184133	0.344956	0.200383	-1.553649	-0.038477	-0.068023	-1.191964	42.054490	10.612020	32.521328	0.000000	0.000000	0.000000
1764791838.803822756	-0.595501	-0.341112	0.032341	-0.105039	0.641375	0.653435	0.107914	0.087020	0.168309	-0.263544	0.008806	-0.177265	0.344959	0.200382	-1.553645	-0.038484	-0.068023	-1.191968	42.056576	10.610758	32.517193	0.000000	0.000000	0.000000
1764791838.810961246	-0.584108	-0.324648	0.024360	-0.053633	0.610283	0.651063	0.113324	0.085554	0.166953	-0.262963	0.014322	-0.170471	0.345874	0.200029	-1.552372	-0.040626	-0.068060	-1.193254	42.671164	10.236070	31.282756	0.000000	0.000000	0.000000
1764791838.822263956	-0.577408	-0.307686	0.015578	-0.003316	0.579845	0.648366	0.118411	0.083965	0.165703	-0.262078	0.019670	-0.163785	0.347319	0.199345	-1.550508	-0.043915	-0.067796	-1.195077	43.623226	9.640572	29.278506	0.000000	0.000000	0.000000
1764791838.843627214	-0.575401	-0.290226	0.005993	0.045911	0.550060	0.645343	0.123162	0.082229	0.164591	-0.260921	0.024811	-0.157162	0.349789	0.198047	-1.547217	-0.049011	-0.067484	-1.198090	44.391736	8.270556	24.891355	0.000000	0.000000	0.000000
1764791838.849151134	-0.578087	-0.272268	-0.004394	0.094049	0.520929	0.641996	0.127941	0.080891	0.163069	-0.259498	0.029714	-0.150590	0.350512	0.197677	-1.546235	-0.050440	-0.067588	-1.199069	28.896728	5.383705	16.202987	0.000000	0.000000	0.000000
1764791838.853869200	-0.585466	-0.253811	-0.015584	0.141098	0.492451	0.638323	0.132505	0.079571	0.161501	-0.257786	0.034432	-0.144105	0.351130	0.197361	-1.545396	-0.051660	-0.067676	-1.199905	15.662203	2.918001	8.782118	0.000000	0.000000	0.000000
1764791838.865248919	-0.597538	-0.234857	-0.027576	0.187057	0.464626	0.634326	0.136662	0.078097	0.160134	-0.255750	0.038978	-0.137769	0.352496	0.196478	-1.543566	-0.054460	-0.067052	-1.201559	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.886053324	-0.614303	-0.215404	-0.040371	0.231927	0.437454	0.630003	0.140658	0.076580	0.158714	-0.253530	0.043260	-0.131348	0.354883	0.195086	-1.540269	-0.058693	-0.067519	-1.204483	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.906790018	-0.635761	-0.195453	-0.053967	0.275708	0.410936	0.625355	0.144237	0.074991	0.157479	-0.250955	0.047376	-0.125134	0.357469	0.193154	-1.536931	-0.063602	-0.066792	-1.207556	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.908570290	-0.661912	-0.175004	-0.068367	0.318399	0.385071	0.620383	0.147927	0.073747	0.155750	-0.248082	0.051356	-0.119009	0.357709	0.192962	-1.536642	-0.064029	-0.066683	-1.207814	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.910737038	-0.692756	-0.154057	-0.083568	0.360000	0.359859	0.615085	0.151383	0.072487	0.154006	-0.244919	0.055155	-0.112973	0.358002	0.192728	-1.536290	-0.064548	-0.066551	-1.208127	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.925463438	-0.728293	-0.132612	-0.099572	0.400513	0.335301	0.609462	0.154354	0.071013	0.152594	-0.241471	0.058729	-0.107038	0.359992	0.191136	-1.533898	-0.068081	-0.065655	-1.210260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.941901445	-0.768179	-0.110096	-0.115182	0.439935	0.311396	0.603515	0.157165	0.069481	0.151123	-0.237733	0.062171	-0.101166	0.362086	0.189244	-1.531240	-0.071538	-0.064857	-1.211834	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.941927195	-0.808897	-0.082403	-0.135612	0.478269	0.288144	0.597242	0.159994	0.068246	0.149234	-0.233707	0.065428	-0.095380	0.362089	0.189241	-1.531235	-0.071543	-0.064856	-1.211836	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.941932917	-0.853852	-0.053080	-0.151964	0.515513	0.265546	0.590644	0.162597	0.066998	0.147317	-0.229388	0.068508	-0.089684	0.362090	0.189241	-1.531234	-0.071544	-0.064855	-1.211837	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.962933064	-0.912525	-0.031615	-0.175744	0.551668	0.243601	0.583721	0.164631	0.065270	0.145970	-0.224776	0.071430	-0.084066	0.364878	0.186652	-1.527888	-0.076643	-0.063438	-1.213727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.964396954	-0.975763	-0.000588	-0.194408	0.586733	0.222309	0.576473	0.166765	0.063982	0.144031	-0.219880	0.074147	-0.078538	0.365066	0.186465	-1.527664	-0.076952	-0.063355	-1.213839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.971269131	-1.046162	0.015216	-0.215507	0.620709	0.201670	0.568900	0.168570	0.062592	0.142228	-0.214680	0.076691	-0.073127	0.365911	0.185568	-1.526648	-0.078217	-0.062690	-1.214280	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791838.981920719	-1.115216	0.040804	-0.235173	0.653595	0.181685	0.561002	0.170059	0.061105	0.140547	-0.209185	0.079059	-0.067820	0.367317	0.184057	-1.524950	-0.080416	-0.061498	-1.215027	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.001908064	-1.188344	0.069187	-0.246538	0.685392	0.162353	0.552779	0.171155	0.059351	0.139161	-0.203401	0.081259	-0.062578	0.370186	0.180997	-1.521545	-0.085283	-0.059410	-1.216521	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.001921177	-1.262336	0.089948	-0.269772	0.716100	0.143675	0.544231	0.172415	0.058059	0.137071	-0.197347	0.083253	-0.057393	0.370188	0.180995	-1.521543	-0.085286	-0.059409	-1.216522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.012241602	-1.340306	0.112954	-0.296572	0.745718	0.125649	0.535358	0.173274	0.056533	0.135268	-0.190996	0.085079	-0.052299	0.371582	0.179474	-1.519942	-0.087591	-0.058400	-1.217163	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.022922516	-1.420949	0.142403	-0.319148	0.774247	0.108277	0.526159	0.173893	0.055006	0.133455	-0.184358	0.086717	-0.047294	0.373022	0.177895	-1.518275	-0.089954	-0.057284	-1.217882	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.034048319	-1.492124	0.163919	-0.333145	0.801686	0.091559	0.516636	0.174314	0.053446	0.131591	-0.177429	0.088185	-0.042356	0.374462	0.176328	-1.516638	-0.092378	-0.056266	-1.218466	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.051584959	-1.572458	0.182178	-0.351134	0.828036	0.075493	0.506788	0.174429	0.051789	0.129843	-0.170211	0.089470	-0.037501	0.376635	0.173865	-1.514157	-0.095784	-0.054700	-1.219306	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.053541183	-1.650092	0.198839	-0.358748	0.853297	0.060081	0.496615	0.174543	0.050428	0.127644	-0.162705	0.090566	-0.032747	0.376863	0.173583	-1.513891	-0.096079	-0.054518	-1.219400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.061969757	-1.719241	0.222609	-0.370345	0.877468	0.045323	0.486116	0.174340	0.048973	0.125573	-0.154908	0.091481	-0.028084	0.377844	0.172371	-1.512746	-0.097352	-0.053735	-1.219805	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.086115122	-1.766815	0.238892	-0.376980	0.908967	0.027850	0.477304	0.172488	0.046560	0.122284	-0.144359	0.091692	-0.021905	0.380672	0.168985	-1.509753	-0.101162	-0.051231	-1.220632	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.086120605	-1.810360	0.259312	-0.385115	0.938593	0.011517	0.468019	0.170557	0.044684	0.118622	-0.134899	0.091414	-0.016535	0.380673	0.168984	-1.509752	-0.101163	-0.051231	-1.220632	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.091990948	-1.841775	0.278819	-0.383868	0.966609	-0.003664	0.458281	0.168585	0.042961	0.115552	-0.125904	0.091011	-0.011911	0.381301	0.168214	-1.509054	-0.101885	-0.050832	-1.220784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.103736877	-1.869111	0.308856	-0.381559	0.992856	-0.017703	0.448056	0.166587	0.041060	0.112469	-0.115161	0.090712	-0.006729	0.382558	0.166674	-1.507657	-0.103330	-0.050033	-1.221087	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.114222050	-1.875455	0.324997	-0.366643	1.017203	-0.030552	0.437258	0.164892	0.039447	0.110086	-0.105127	0.090273	-0.002297	0.383674	0.165447	-1.506522	-0.105047	-0.049578	-1.221183	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.127930403	-1.878151	0.344416	-0.346751	1.039842	-0.042281	0.425778	0.163061	0.038123	0.108074	-0.095335	0.089651	0.001628	0.384796	0.163747	-1.505228	-0.105427	-0.048255	-1.221455	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.132956743	-1.867446	0.363284	-0.322738	1.060226	-0.052853	0.413585	0.161216	0.036777	0.106015	-0.085150	0.088828	0.005404	0.385316	0.163094	-1.504651	-0.105932	-0.047897	-1.221502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.142067194	-1.858199	0.378218	-0.306361	1.078334	-0.062325	0.400629	0.158396	0.035040	0.103235	-0.074481	0.087518	0.009341	0.386258	0.161911	-1.503607	-0.106847	-0.047247	-1.221586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.161257267	-1.846279	0.394469	-0.281338	1.094262	-0.070663	0.386860	0.155953	0.033448	0.101160	-0.063283	0.086422	0.012995	0.388036	0.159524	-1.501699	-0.107942	-0.045771	-1.221487	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.162949085	-1.833491	0.409725	-0.257642	1.107525	-0.077817	0.372302	0.153906	0.032219	0.099364	-0.052506	0.085396	0.016133	0.388188	0.159315	-1.501537	-0.108022	-0.045639	-1.221473	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.172386408	-1.814856	0.426665	-0.232542	1.118121	-0.083945	0.356960	0.151728	0.031006	0.097772	-0.041701	0.084102	0.019006	0.388963	0.158227	-1.500608	-0.108462	-0.044942	-1.221430	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.182309628	-1.800402	0.445728	-0.212664	1.126138	-0.089080	0.340752	0.149046	0.029572	0.095563	-0.030311	0.083021	0.022291	0.389734	0.157065	-1.499709	-0.108481	-0.044120	-1.221321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764791839.192055225	-1.780958	0.459245	-0.196015	1.131587	-0.093245	0.323719	0.145712	0.027854	0.092635	-0.017272	0.081672	0.026244	0.390484	0.155908	-1.498862	-0.108313	-0.043269	-1.221183	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
