time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	norm_dof	norm_value
1767827123.770271063	-0.008619	-0.065948	-0.239964	-0.000000	-0.000000	-0.000000	0.043851	0.110097	0.205554	-0.000000	-0.000000	0.000000	0.020195	-0.043439	-1.958713	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827123.870272636	-0.008400	-0.060297	-0.194820	-0.000000	-0.000000	-0.000000	0.043009	0.103560	0.181572	-0.000000	-0.000000	0.000000	0.031647	-0.044251	-1.939556	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827123.970326662	-0.008183	-0.055201	-0.160255	-0.000000	-0.000000	0.000000	0.042165	0.097436	0.161337	-0.000000	-0.000000	-0.000000	0.042469	-0.045179	-1.922611	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827124.070283175	-0.007974	-0.050706	-0.134304	-0.000000	-0.000000	0.000000	0.041344	0.091831	0.144736	-0.000000	-0.000000	-0.000000	0.052712	-0.046210	-1.907470	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827124.170284033	-0.007772	-0.046721	-0.114296	-0.000000	-0.000000	0.000000	0.040543	0.086686	0.130873	-0.000000	-0.000000	-0.000000	0.062423	-0.047330	-1.893823	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827124.270320892	-0.007577	-0.043172	-0.098506	-0.000000	-0.000000	-0.000000	0.039762	0.081947	0.119110	-0.000000	-0.000000	0.000000	0.071644	-0.048527	-1.881436	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827124.370288849	-0.007389	-0.039996	-0.085802	-0.000000	-0.000000	-0.000000	0.039001	0.077571	0.108996	-0.000000	-0.000000	0.000000	0.080410	-0.049792	-1.870126	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827124.470335484	-0.007207	-0.037142	-0.075412	-0.000000	-0.000000	0.000000	0.038259	0.073518	0.100204	-0.000000	-0.000000	-0.000000	0.088756	-0.051116	-1.859748	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827124.570308447	-0.007031	-0.034569	-0.066797	-0.000000	-0.000000	0.000000	0.037535	0.069757	0.092490	-0.000000	-0.000000	-0.000000	0.096710	-0.052492	-1.850184	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827124.670336485	-0.006860	-0.032240	-0.059567	-0.000000	-0.000000	0.000000	0.036829	0.066257	0.085666	-0.000000	-0.000000	-0.000000	0.104299	-0.053912	-1.841339	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827124.770289421	-0.006695	-0.030125	-0.053437	-0.000000	-0.000000	0.000000	0.036141	0.062994	0.079589	-0.000000	-0.000000	-0.000000	0.111547	-0.055371	-1.833132	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827124.870280504	-0.006536	-0.028199	-0.048191	-0.000000	-0.000000	0.000000	0.035468	0.059946	0.074143	-0.000000	-0.000000	-0.000000	0.118476	-0.056862	-1.825495	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827124.970282555	-0.006382	-0.026440	-0.043664	-0.000000	-0.000000	0.000000	0.034812	0.057094	0.069237	-0.000000	-0.000000	-0.000000	0.125105	-0.058382	-1.818371	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827125.070268154	-0.006232	-0.024829	-0.039730	-0.000000	-0.000000	0.000000	0.034171	0.054421	0.064795	-0.000000	-0.000000	-0.000000	0.131454	-0.059926	-1.811710	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827125.170264721	-0.006087	-0.023350	-0.036287	-0.000000	-0.000000	0.000000	0.033546	0.051911	0.060756	-0.000000	-0.000000	-0.000000	0.137538	-0.061490	-1.805468	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827125.270805359	-0.005947	-0.021989	-0.033257	-0.000000	-0.000000	0.000000	0.032934	0.049551	0.057070	-0.000000	-0.000000	-0.000000	0.143372	-0.063071	-1.799610	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827125.370294094	-0.005811	-0.020733	-0.030576	-0.000000	-0.000000	0.000000	0.032337	0.047330	0.053694	-0.000000	-0.000000	-0.000000	0.148972	-0.064666	-1.794102	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827125.470358849	-0.005679	-0.019573	-0.028191	-0.000000	-0.000000	0.000000	0.031754	0.045236	0.050592	-0.000000	-0.000000	-0.000000	0.154349	-0.066271	-1.788916	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1767827125.570278168	-0.005551	-0.018499	-0.026061	-0.000000	-0.000000	0.000000	0.031184	0.043259	0.047733	-0.000000	-0.000000	-0.000000	0.159515	-0.067885	-1.784025	0.000000	0.000000	-1.254198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
