time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764622127.071417570	0.259408	0.034532	-0.020638	0.000000	0.000000	0.000000	nan	nan	nan	-0.000712	-0.007090	-0.021192	nan	nan	nan	-0.098710	-1.397483	265.918938	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.076592445	0.264579	0.035613	-0.025121	0.000000	0.000000	0.000000	nan	nan	nan	0.015637	-0.007685	-0.027048	nan	nan	nan	-0.091199	-1.401820	265.906685	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.086169243	0.278702	0.035087	-0.038590	0.000000	0.000000	0.000000	nan	nan	nan	-0.001960	-0.010355	-0.018790	nan	nan	nan	-0.084589	-1.406302	265.897667	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.096807241	0.261284	0.039613	-0.014414	0.000000	0.000000	0.000000	nan	nan	nan	0.008108	-0.001520	-0.015789	nan	nan	nan	-0.079849	-1.411155	265.889397	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.116472006	0.256457	0.029113	-0.017523	0.000000	0.000000	0.000000	nan	nan	nan	0.006400	-0.017718	-0.023758	nan	nan	nan	-0.075292	-1.419678	265.880760	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.116482496	0.268548	0.019905	-0.036542	0.000000	0.000000	0.000000	nan	nan	nan	-0.003317	-0.005547	-0.030842	nan	nan	nan	-0.071235	-1.423375	265.868912	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.127009869	0.261613	0.022658	-0.037571	0.000000	0.000000	0.000000	nan	nan	nan	-0.000877	-0.014225	-0.020538	nan	nan	nan	-0.069463	-1.430906	265.861855	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.136895180	0.258330	0.028684	-0.020993	0.000000	0.000000	0.000000	nan	nan	nan	0.015574	-0.007708	-0.017520	nan	nan	nan	-0.059714	-1.436009	265.850769	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.155452728	0.253256	0.007880	-0.019302	0.000000	0.000000	0.000000	nan	nan	nan	0.003613	-0.007608	-0.025067	nan	nan	nan	-0.052321	-1.440025	265.845421	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.156886816	0.288918	0.000238	-0.060404	0.000000	0.000000	0.000000	nan	nan	nan	0.002782	-0.003701	-0.021296	nan	nan	nan	-0.048821	-1.443007	265.831734	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.166389942	0.223741	0.044596	0.010789	0.000000	0.000000	0.000000	nan	nan	nan	0.002265	-0.012781	-0.021654	nan	nan	nan	-0.044839	-1.449739	265.822983	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.185862303	0.242449	0.050027	-0.023716	0.000000	0.000000	0.000000	nan	nan	nan	0.006092	-0.013838	-0.019279	nan	nan	nan	-0.040517	-1.458652	265.814850	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.185889244	0.288728	0.029582	0.001463	0.000000	0.000000	0.000000	nan	nan	nan	0.004830	-0.007586	-0.019220	nan	nan	nan	-0.033273	-1.461278	265.806747	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
1764622127.196229696	0.268489	0.025462	-0.095571	0.000000	0.000000	0.000000	nan	nan	nan	0.009488	-0.010579	-0.018844	nan	nan	nan	-0.024084	-1.472062	265.800575	0.000000	0.000000	0.000000	0.000000	0.000000	2.978074
