time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764789225.785992861	0.118553	-0.541701	-0.607701	1.145397	0.395367	1.631529	-0.133886	0.101048	0.155656	-0.369817	-0.016571	-0.300538	0.187896	-0.423518	-1.254711	0.030112	-0.099793	-2.433144	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.795872688	0.114166	-0.520903	-0.588330	1.133704	0.376122	1.555282	-0.132715	0.095696	0.149652	-0.358500	-0.012664	-0.284419	0.189844	-0.423282	-1.253373	0.026512	-0.100326	-2.435403	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.806139469	0.074333	-0.338088	-0.387168	0.779470	0.238710	0.991147	-0.131586	0.090553	0.143804	-0.346976	-0.008993	-0.269205	0.191235	-0.422988	-1.251952	0.023564	-0.099539	-2.438554	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.825686693	0.068072	-0.308491	-0.358265	0.752790	0.212831	0.887159	-0.130499	0.085616	0.138109	-0.335261	-0.005547	-0.254869	0.194520	-0.422411	-1.249406	0.017444	-0.099420	-2.443784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.837496281	0.067299	-0.303729	-0.357788	0.783898	0.204602	0.855965	-0.129452	0.080880	0.132569	-0.323371	-0.002319	-0.241386	0.196186	-0.422086	-1.248075	0.014310	-0.099763	-2.446217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.856224060	0.068416	-0.307316	-0.367276	0.838355	0.201987	0.847797	-0.128444	0.076341	0.127183	-0.311323	0.000701	-0.228730	0.199398	-0.421563	-1.245622	0.007704	-0.099479	-2.450754	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.866408110	0.095126	-0.425016	-0.515430	1.224863	0.272363	1.146395	-0.127474	0.071995	0.121951	-0.299133	0.003521	-0.216875	0.200804	-0.421250	-1.244382	0.005353	-0.098563	-2.452782	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.876230955	0.061298	-0.272227	-0.335074	0.828438	0.169971	0.717002	-0.126541	0.067838	0.116871	-0.286817	0.006150	-0.205794	0.202448	-0.420986	-1.243294	0.001700	-0.098815	-2.455012	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.896271706	0.044004	-0.194098	-0.242532	0.623514	0.118001	0.498494	-0.125643	0.063865	0.111944	-0.274393	0.008597	-0.195463	0.205139	-0.420177	-1.241318	-0.002691	-0.097731	-2.459068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.916232824	0.055892	-0.244655	-0.310406	0.829388	0.144739	0.611748	-0.124780	0.060073	0.107170	-0.261876	0.010870	-0.185854	0.207976	-0.419447	-1.239294	-0.007802	-0.097540	-2.462290	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.926547527	0.080215	-0.348118	-0.448559	1.245166	0.200313	0.846034	-0.123951	0.056458	0.102547	-0.249282	0.012979	-0.176941	0.209385	-0.418992	-1.238358	-0.009756	-0.097289	-2.464043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.936508179	0.051786	-0.222590	-0.291344	0.839965	0.124533	0.524810	-0.123154	0.053015	0.098075	-0.236630	0.014931	-0.168700	0.210783	-0.418665	-1.237532	-0.012555	-0.097130	-2.465605	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.956726313	0.037489	-0.159412	-0.211992	0.634632	0.086699	0.363880	-0.122388	0.049741	0.093754	-0.223933	0.016737	-0.161103	0.213384	-0.417651	-1.235945	-0.016079	-0.097054	-2.468404	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.976561546	0.036418	-0.153006	-0.206772	0.642660	0.080897	0.337360	-0.121652	0.046630	0.089584	-0.211210	0.018404	-0.154125	0.215971	-0.416796	-1.234500	-0.019987	-0.096380	-2.471456	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789225.996337175	0.034765	-0.144116	-0.197953	0.638731	0.074101	0.306153	-0.120946	0.043680	0.085564	-0.198477	0.019941	-0.147740	0.218392	-0.415813	-1.233284	-0.022844	-0.095973	-2.473880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789226.016422749	0.044708	-0.182581	-0.254951	0.854074	0.091365	0.372637	-0.120267	0.040886	0.081693	-0.185750	0.021358	-0.141922	0.220981	-0.414779	-1.232143	-0.025699	-0.095969	-2.476603	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789226.026114464	0.055618	-0.223386	-0.317162	1.103226	0.108926	0.436613	-0.119614	0.038243	0.077972	-0.173045	0.022662	-0.136644	0.222050	-0.414143	-1.231743	-0.026264	-0.095502	-2.477615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789226.039419413	0.060939	-0.240261	-0.346899	1.253247	0.114375	0.448082	-0.118988	0.035748	0.074400	-0.160379	0.023863	-0.131881	0.223317	-0.413706	-1.231086	-0.028141	-0.095685	-2.479207	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789226.046283007	0.066871	-0.258267	-0.379265	1.423589	0.120352	0.457701	-0.118385	0.033397	0.070976	-0.147769	0.024969	-0.127607	0.224446	-0.413211	-1.230636	-0.029500	-0.095475	-2.480288	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789226.057085276	0.037744	-0.142470	-0.212815	0.830354	0.065228	0.238791	-0.117806	0.031186	0.067700	-0.135230	0.025989	-0.123795	0.225499	-0.412602	-1.230190	-0.029833	-0.095255	-2.481393	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764789226.076377153	0.027936	-0.102794	-0.156202	0.633925	0.046462	0.162056	-0.117249	0.029110	0.064571	-0.122780	0.026932	-0.120421	0.227866	-0.411630	-1.229370	-0.032723	-0.094997	-2.483647	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
