time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	pose_valid	pose_age	twist_valid	twist_age	wrench_valid	wrench_age
1764789228.717335701	-0.045335	0.046201	0.002748	-0.188233	2.200381	0.090686	-0.069980	-0.001481	0.014380	0.068538	-0.055190	0.245255	0.423697	-0.262007	-1.179046	0.014185	-0.079865	-2.247512	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.001219	1	0.001187	1	0.040411
1764789228.727227926	-0.045437	0.046688	0.003345	0.255413	0.769109	0.419977	-0.065274	-0.001805	0.016437	0.066676	-0.033423	0.246152	0.424066	-0.261510	-1.178910	0.014636	-0.080017	-2.245033	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.000892	1	0.000879	1	0.049484
1764789228.737553596	-0.045519	0.047138	0.003889	-0.673147	-0.579322	0.760474	-0.067490	-0.003986	0.016416	0.073702	-0.039640	0.253746	0.424458	-0.260917	-1.178803	0.015234	-0.080515	-2.242418	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.001420	1	0.001161	1	0.039158
1764789228.746825218	-0.045580	0.047553	0.004381	-1.089270	-0.276724	0.393799	-0.069116	0.001578	0.016369	0.053484	-0.044776	0.261055	0.425447	-0.259891	-1.178592	0.015462	-0.081581	-2.237119	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.008980	1	0.009286	1	0.029887
1764789228.756114483	-0.045620	0.047932	0.004821	-0.219345	0.503965	-0.477478	-0.069116	0.001578	0.016369	0.053484	-0.044776	0.261055	0.425447	-0.259891	-1.178592	0.015462	-0.081581	-2.237119	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.000309	1	0.000003	1	0.020597
1764789228.766895294	-0.045639	0.048276	0.005208	-0.355448	-0.141987	-0.578549	-0.067791	0.002045	0.015195	0.049081	-0.034662	0.251472	0.425892	-0.259364	-1.178504	0.015716	-0.081870	-2.234641	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.000950	1	0.000791	1	0.009817
1764789228.776998758	-0.045638	0.048584	0.005542	-0.146659	-0.634981	-0.121345	-0.067870	0.003059	0.014898	0.046060	-0.047742	0.248973	0.426806	-0.258320	-1.178322	0.016173	-0.083172	-2.229688	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.009184	1	0.009226	1	0.000287
1764789228.787494183	-0.045616	0.048856	0.005825	2.465631	-0.546425	-0.489918	-0.067870	0.003059	0.014898	0.046060	-0.047742	0.248973	0.426806	-0.258320	-1.178322	0.016173	-0.083172	-2.229688	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.001311	1	0.001269	1	0.010782
1764789228.797008753	-0.045573	0.049093	0.006054	-0.155376	-0.124570	0.363835	-0.069496	-0.005844	0.017233	0.095398	-0.058676	0.239169	0.427131	-0.257654	-1.178188	0.017431	-0.083908	-2.227396	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.000979	1	0.000778	1	0.020297
1764789228.807158709	-0.045510	0.049293	0.006232	-4.221165	0.870301	0.591106	-0.069681	0.004176	0.015913	0.043005	-0.050191	0.256127	0.427672	-0.257180	-1.178099	0.017109	-0.084370	-2.224673	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.001013	1	0.000981	1	0.020096
1764789228.818296432	-0.045425	0.049458	0.006356	0.156155	0.302881	0.270677	-0.065264	0.008778	0.012852	0.005539	-0.040149	0.251753	0.428164	-0.256761	-1.178049	0.016567	-0.084722	-2.222131	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867	1	0.002047	1	0.001677	1	0.008959
