time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764789228.717335701	-1.304109	-0.539824	0.002748	1.459133	-2.026002	13.615893	-0.069972	0.002743	0.015839	-0.085841	0.128937	-0.911211	0.423741	-0.261948	-1.179029	0.014239	-0.079883	-2.247216	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.727227926	-1.310191	-0.551096	0.003345	1.364971	-1.901714	12.802694	-0.069776	0.002719	0.015783	-0.067452	0.109301	-0.774217	0.424102	-0.261456	-1.178900	0.014691	-0.080062	-2.244795	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.737553596	-1.316245	-0.562241	0.003889	1.273363	-1.780694	12.010446	-0.069573	0.002725	0.015753	-0.049952	0.088667	-0.643749	0.424530	-0.260843	-1.178788	0.015250	-0.080592	-2.242035	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.746825218	-1.322273	-0.573259	0.004381	1.184309	-1.662943	11.239149	-0.069373	0.002709	0.015724	-0.036553	0.069784	-0.523374	0.424996	-0.260359	-1.178688	0.015358	-0.081094	-2.239538	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.756114483	-1.328275	-0.584152	0.004821	1.097810	-1.548460	10.488803	-0.069172	0.002698	0.015696	-0.024112	0.052314	-0.411182	0.425461	-0.259875	-1.178589	0.015469	-0.081590	-2.237043	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.766895294	-1.334249	-0.594919	0.005208	1.013866	-1.437246	9.759408	-0.068975	0.002703	0.015658	-0.011948	0.036748	-0.306399	0.425934	-0.259315	-1.178495	0.015738	-0.081932	-2.234408	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.776998758	-1.340197	-0.605559	0.005542	0.932475	-1.329300	9.050965	-0.068773	0.002701	0.015643	-0.001133	0.021299	-0.209978	0.426391	-0.258794	-1.178405	0.015966	-0.082582	-2.231936	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.787494183	-1.346118	-0.616074	0.005825	0.853639	-1.224623	8.363472	-0.068571	0.002711	0.015632	0.009076	0.007174	-0.120776	0.426850	-0.258232	-1.178304	0.016341	-0.083270	-2.229383	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.797008753	-1.352013	-0.626462	0.006054	0.777357	-1.123214	7.696930	-0.068371	0.002716	0.015620	0.019554	-0.005532	-0.039498	0.427184	-0.257608	-1.178180	0.017400	-0.083952	-2.227132	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.807158709	-1.357881	-0.636724	0.006232	0.703630	-1.025074	7.051339	-0.068173	0.002734	0.015598	0.026064	-0.016471	0.035782	0.427722	-0.257138	-1.178094	0.017054	-0.084405	-2.224418	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.818296432	-1.363722	-0.646860	0.006356	0.632457	-0.930202	6.426700	-0.067975	0.002766	0.015575	0.032211	-0.026356	0.104241	0.428251	-0.256638	-1.178019	0.016697	-0.084830	-2.221576	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.827260971	-1.369536	-0.656870	0.006429	0.563838	-0.838599	5.823011	-0.067778	0.002788	0.015554	0.038625	-0.035240	0.165606	0.428634	-0.256099	-1.177888	0.017267	-0.085302	-2.219143	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.836990118	-1.375324	-0.666754	0.006449	0.497774	-0.750264	5.240273	-0.067580	0.002827	0.015538	0.043928	-0.043115	0.220812	0.429043	-0.255529	-1.177759	0.017835	-0.085817	-2.216521	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.847030401	-1.381085	-0.676511	0.006416	0.434264	-0.665198	4.678487	-0.067382	0.002864	0.015526	0.048211	-0.050021	0.269886	0.429426	-0.255033	-1.177704	0.018098	-0.086356	-2.213931	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.857091188	-1.386820	-0.686143	0.006331	0.373308	-0.583400	4.137651	-0.067186	0.002900	0.015510	0.051769	-0.056015	0.313125	0.429878	-0.254518	-1.177618	0.018252	-0.086816	-2.211399	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.866739988	-1.392527	-0.695648	0.006194	0.314907	-0.504870	3.617767	-0.066990	0.002933	0.015495	0.054678	-0.061152	0.350860	0.430308	-0.254021	-1.177533	0.018416	-0.087265	-2.208965	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
1764789228.876903057	-1.398685	-0.703369	0.006003	0.259060	-0.429610	3.118833	-0.066791	0.002991	0.015491	0.056655	-0.065256	0.383072	0.430700	-0.253446	-1.177426	0.018882	-0.087875	-2.206298	0.000000	0.000000	0.000000	0.000000	0.000000	0.647867
