time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	norm_dof	norm_value
1764102851.095748425	0.000077	-0.000000	0.000000	0.000008	0.000002	0.000000	-0.000576	0.000000	-0.000000	0.000000	0.000001	-0.000000	-1.800785	0.265715	-1.986051	-0.000001	-0.000001	-0.091710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764102851.195574999	0.000076	-0.000000	0.000000	0.000007	0.000002	0.000000	-0.000570	0.000000	-0.000000	0.000001	0.000001	0.000000	-1.800833	0.265719	-1.986051	-0.000001	-0.000001	-0.091710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764102851.295579672	0.000075	-0.000000	0.000000	0.000006	0.000001	0.000000	-0.000562	0.000000	-0.000000	0.000002	0.000001	0.000000	-1.800889	0.265725	-1.986051	-0.000001	-0.000001	-0.091710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764102851.395806789	0.000074	-0.000000	0.000000	0.000005	0.000001	0.000000	-0.000555	0.000000	-0.000000	0.000002	0.000001	0.000000	-1.800945	0.265730	-1.986051	-0.000001	-0.000001	-0.091710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764102851.495569706	0.000073	-0.000000	0.000000	0.000004	0.000001	0.000000	-0.000547	0.000000	-0.000000	0.000003	0.000001	0.000000	-1.801000	0.265735	-1.986052	-0.000001	-0.000001	-0.091710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764102851.595596552	0.000072	-0.000000	0.000000	0.000004	0.000001	0.000000	-0.000540	0.000000	-0.000000	0.000003	0.000002	0.000000	-1.801054	0.265740	-1.986052	-0.000001	-0.000001	-0.091710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764102851.695591211	0.000071	-0.000000	0.000000	0.000003	0.000000	0.000000	-0.000533	0.000000	-0.000000	0.000004	0.000002	0.000000	-1.801107	0.265745	-1.986052	-0.000001	-0.000001	-0.091710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764102851.795539856	0.000070	-0.000000	0.000000	0.000003	0.000000	0.000000	-0.000526	0.000000	-0.000000	0.000004	0.000002	0.000000	-1.801160	0.265750	-1.986052	-0.000001	-0.000001	-0.091710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764102851.895567894	0.000069	-0.000000	0.000000	0.000002	0.000000	0.000000	-0.000519	0.000000	-0.000000	0.000004	0.000002	0.000000	-1.801211	0.265754	-1.986052	-0.000001	-0.000001	-0.091710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764102851.995533466	0.000068	-0.000000	0.000000	-0.000012	-0.000008	-0.000000	-0.000512	0.000000	-0.000000	0.000004	0.000002	0.000000	-1.801263	0.265759	-1.986052	0.000001	0.000001	-0.091710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
