time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764710324.255557537	-0.406568	-0.055989	-0.020064	0.000000	0.000000	0.000000	0.095327	0.025791	-0.011425	-0.022434	-0.025589	0.019984	1.555505	0.623935	-1.681800	0.014648	-0.045824	-2.282893	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
1764710324.263457060	-0.421974	-0.065338	-0.023179	0.000000	0.000000	0.000000	0.099519	0.024208	-0.009580	-0.018518	-0.011616	0.010395	1.554993	0.622990	-1.681827	0.014500	-0.045800	-2.282885	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
1764710324.284160376	-0.406589	-0.036977	-0.025551	0.000000	0.000000	0.000000	0.101243	0.019852	-0.006856	0.002551	-0.012538	0.001320	1.553446	0.620264	-1.681870	0.014598	-0.046198	-2.282902	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
1764710324.284167767	-0.412467	-0.063604	-0.034569	0.000000	0.000000	0.000000	0.101243	0.019852	-0.006856	0.002551	-0.012538	0.001320	1.553446	0.620264	-1.681870	0.014598	-0.046198	-2.282902	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
1764710324.293803692	-0.414256	-0.054026	-0.039041	0.000000	0.000000	0.000000	0.101243	0.019852	-0.006856	0.002551	-0.012538	0.001320	1.553446	0.620264	-1.681870	0.014598	-0.046198	-2.282902	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
1764710324.304167271	-0.433500	-0.058729	-0.026971	0.000000	0.000000	0.000000	0.103306	0.020977	-0.007423	-0.003833	-0.009985	0.002906	1.552408	0.618385	-1.681925	0.014391	-0.046347	-2.282814	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
1764710324.314237595	-0.428232	-0.057255	-0.050806	0.000000	0.000000	0.000000	0.104743	0.020429	-0.009505	0.001856	-0.009121	0.005055	1.551862	0.617445	-1.681989	0.014463	-0.046430	-2.282743	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
1764710324.323872566	-0.441223	-0.114872	-0.031554	0.000000	0.000000	0.000000	0.103832	0.021424	-0.005825	-0.009110	-0.007503	0.002279	1.551350	0.616502	-1.681959	0.014259	-0.046490	-2.282749	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
1764710324.340466976	-0.434040	-0.097549	-0.055343	0.000000	0.000000	0.000000	0.106769	0.019554	-0.005615	0.001011	-0.008601	-0.003253	1.550195	0.614625	-1.681960	0.014488	-0.046680	-2.282926	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
1764710324.343557835	-0.431383	-0.107429	-0.033648	0.000000	0.000000	0.000000	0.106769	0.019554	-0.005615	0.001011	-0.008601	-0.003253	1.550195	0.614625	-1.681960	0.014488	-0.046680	-2.282926	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
1764710324.353615999	-0.424230	-0.112840	-0.047785	0.000000	0.000000	0.000000	0.106547	0.017580	-0.006974	0.009147	-0.008286	-0.000425	1.549622	0.613722	-1.681991	0.014659	-0.046759	-2.282904	2.402603	0.000000	0.000000	0.000000	0.000000	0.000000
