time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	pose_valid	pose_age	twist_valid	twist_age	wrench_valid	wrench_age
1764776682.156626701	-0.019335	-0.063058	0.094196	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.115141	2.913437	7.141441	0.000000	0.000000	0.000000	0	0.103760	0	0.103770	1	0.009817
1764776682.173556566	-0.014970	-0.064462	0.080035	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.115141	2.913437	7.141441	0.000000	0.000000	0.000000	0	0.086830	0	0.086840	1	0.007113
1764776682.177674294	-0.010853	-0.065948	0.066280	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.159331	2.748766	6.695752	0.000000	0.000000	0.000000	0	0.082713	0	0.082722	1	0.005224
1764776682.197241783	-0.006984	-0.067514	0.052933	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.203145	2.579178	6.215926	0.000000	0.000000	0.000000	0	0.063145	0	0.063155	1	0.002553
1764776682.202476025	-0.003365	-0.069161	0.039992	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.203145	2.579178	6.215926	0.000000	0.000000	0.000000	0	0.057911	0	0.057921	1	0.002681
1764776682.208316088	0.000007	-0.070889	0.027459	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.247203	2.402300	5.695691	0.000000	0.000000	0.000000	0	0.052071	0	0.052081	1	0.008131
1764776682.215624332	0.003130	-0.072698	0.015332	nan	nan	nan	-0.024524	0.033631	0.026277	-0.061145	-0.024098	-0.064744	1.366932	0.788888	-1.617032	-0.013565	-0.049372	-2.380584	1.247203	2.402300	5.695691	0.000000	0.000000	0.000000	1	0.044763	1	0.044772	1	0.000823
1764776682.225991726	0.006005	-0.074588	0.003612	0.000000	0.000000	0.000000	-0.024524	0.033631	0.026277	-0.061145	-0.024098	-0.064744	1.366932	0.788888	-1.617032	-0.013565	-0.049372	-2.380584	1.289230	2.227650	5.164613	0.000000	0.000000	0.000000	1	0.034395	1	0.034405	1	0.006867
1764776682.238561392	0.008631	-0.076559	-0.007701	0.000000	0.000000	0.000000	-0.024524	0.033631	0.026277	-0.061145	-0.024098	-0.064744	1.366932	0.788888	-1.617032	-0.013565	-0.049372	-2.380584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.021826	1	0.021835	1	0.003585
1764776682.260385036	0.011008	-0.078610	-0.018608	0.000000	0.000000	0.000000	-0.024524	0.033631	0.026277	-0.061145	-0.024098	-0.064744	1.366932	0.788888	-1.617032	-0.013565	-0.049372	-2.380584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.000002	1	0.000012	1	0.013383
1764776682.260394573	0.013138	-0.080743	-0.029107	0.000000	0.000000	0.000000	-0.024524	0.033631	0.026277	-0.061145	-0.024098	-0.064744	1.366932	0.788888	-1.617032	-0.013565	-0.049372	-2.380584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.000008	1	0.000002	1	0.013373
1764776682.269618511	0.015018	-0.082957	-0.039199	0.175673	-0.034300	0.059380	-0.024524	0.033631	0.026277	-0.061145	-0.024098	-0.064744	1.366932	0.788888	-1.617032	-0.013565	-0.049372	-2.380584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1	0.009232	1	0.009222	1	0.004149
