time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764776682.260386944	0.010372	-0.031776	-0.026849	0.203718	-0.039776	0.068859	-0.024524	0.033631	0.026277	-0.061145	-0.024098	-0.064744	1.366932	0.788888	-1.617032	-0.013565	-0.049372	-2.380584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.280218840	0.020938	0.019376	-0.031041	0.114958	-0.053849	0.055719	-0.024319	0.033000	0.025745	-0.057105	-0.024887	-0.063378	1.367750	0.788763	-1.616560	-0.014567	-0.049904	-2.381819	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.301163912	0.165630	0.935560	-0.282094	-2.748480	1.466714	2.598434	-0.023671	0.034421	0.025012	-0.056457	-0.026294	-0.062472	1.368589	0.788574	-1.616115	-0.015608	-0.050469	-2.383028	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.310064316	-0.047679	-0.887089	0.064296	3.284568	-1.351221	-1.924858	-0.019375	0.060923	0.017326	-0.139134	0.018888	0.014173	1.369317	0.788035	-1.616038	-0.017913	-0.049801	-2.382113	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.320076466	-0.177064	-1.817175	0.367713	6.243874	-2.650866	-4.633842	-0.024572	0.017644	0.026228	0.005662	-0.051849	-0.098876	1.369373	0.788432	-1.615699	-0.016311	-0.051057	-2.384203	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.330013752	0.129778	0.422733	-0.145053	-1.008154	1.131903	1.568121	-0.022908	0.024671	0.024661	-0.014573	-0.033996	-0.078269	1.369756	0.788352	-1.615485	-0.016629	-0.051228	-2.384778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.339979887	0.016941	0.079812	-0.193748	-0.042410	0.018983	1.145802	-0.021989	0.026057	0.023341	-0.014403	-0.029320	-0.067665	1.370107	0.788302	-1.615281	-0.016742	-0.051483	-2.385344	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.350550413	-0.005160	0.052113	-0.205457	0.082734	-0.122138	0.611387	-0.022560	0.026310	0.020682	-0.015444	-0.033606	-0.054738	1.370485	0.788270	-1.615108	-0.016894	-0.051889	-2.385778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.370048761	0.088460	0.030625	-0.151300	0.257133	0.249030	0.268029	-0.022144	0.027624	0.017163	-0.011916	-0.032993	-0.049281	1.371193	0.788155	-1.614874	-0.017013	-0.052535	-2.386623	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.380501270	0.030797	-0.098837	-0.145874	0.506620	0.026085	0.168782	-0.019910	0.027227	0.016151	-0.007742	-0.026147	-0.046710	1.371517	0.788083	-1.614735	-0.017026	-0.052739	-2.387068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.399876833	-0.024907	-0.121537	-0.149517	0.669102	-0.336099	0.288496	-0.021226	0.024676	0.012812	0.003196	-0.032215	-0.044246	1.372148	0.788074	-1.614579	-0.016704	-0.053507	-2.387881	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.410084724	0.027894	-0.161812	-0.146164	0.609944	-0.274601	0.319708	-0.020647	0.023632	0.011728	0.012052	-0.036090	-0.038176	1.372460	0.788048	-1.614486	-0.016474	-0.053919	-2.388201	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.421411753	-0.020284	-0.080055	-0.149215	0.384322	-0.102410	0.002730	-0.020625	0.021192	0.009664	0.016331	-0.038128	-0.037362	1.372779	0.788055	-1.614416	-0.016219	-0.054381	-2.388608	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.440439701	-0.014796	0.013256	-0.151107	0.053179	0.015900	0.062771	-0.021263	0.021202	0.007198	0.023718	-0.039199	-0.038093	1.373358	0.788047	-1.614356	-0.015593	-0.055152	-2.389329	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.450153828	0.083064	-0.090124	-0.188084	0.188892	0.230945	0.227295	-0.021050	0.021573	0.005321	0.017859	-0.037671	-0.035557	1.373658	0.788030	-1.614336	-0.015456	-0.055515	-2.389651	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.460126162	0.057802	-0.096561	-0.155916	0.470567	-0.060761	0.155203	-0.019628	0.019428	0.003495	0.027437	-0.034652	-0.033618	1.373910	0.788028	-1.614333	-0.015068	-0.055836	-2.389963	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
