time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764776682.260396719	0.021557	-0.071323	-0.101322	0.404286	-0.083798	0.140508	-0.024339	0.036944	0.029890	-0.070622	-0.020322	-0.066276	1.366932	0.788888	-1.617032	-0.013565	-0.049372	-2.380584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.280340195	0.020530	-0.068509	-0.097771	0.389521	-0.079610	0.134314	-0.023909	0.035522	0.027869	-0.062560	-0.021993	-0.063474	1.367750	0.788763	-1.616560	-0.014567	-0.049904	-2.381819	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.301172256	0.026602	-0.090368	-0.130178	0.516963	-0.102593	0.175407	-0.023502	0.034150	0.025903	-0.054739	-0.023568	-0.060800	1.368589	0.788574	-1.616115	-0.015608	-0.050469	-2.383028	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.310127020	0.039609	-0.137054	-0.199306	0.788735	-0.151767	0.263308	-0.023116	0.032830	0.023992	-0.047161	-0.025049	-0.058249	1.369317	0.788035	-1.616038	-0.017913	-0.049801	-2.382113	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.320085049	0.035417	-0.124908	-0.183387	0.723015	-0.134674	0.237459	-0.022752	0.031558	0.022134	-0.039822	-0.026439	-0.055820	1.369373	0.788432	-1.615699	-0.016311	-0.051057	-2.384203	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.330096722	0.033279	-0.119706	-0.177453	0.696789	-0.125416	0.225123	-0.022409	0.030335	0.020329	-0.032722	-0.027739	-0.053507	1.369756	0.788352	-1.615485	-0.016629	-0.051228	-2.384778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.340123177	0.030681	-0.112632	-0.168600	0.659131	-0.114413	0.209487	-0.022086	0.029160	0.018578	-0.025860	-0.028952	-0.051309	1.370107	0.788302	-1.615281	-0.016742	-0.051483	-2.385344	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.350561619	0.019356	-0.072571	-0.109704	0.426849	-0.071296	0.133453	-0.021781	0.028030	0.016879	-0.019233	-0.030080	-0.049220	1.370485	0.788270	-1.615108	-0.016894	-0.051889	-2.385778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.370622158	0.018509	-0.070918	-0.108269	0.419111	-0.067191	0.128908	-0.021495	0.026946	0.015232	-0.012841	-0.031126	-0.047239	1.371193	0.788155	-1.614874	-0.017013	-0.052535	-2.386623	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764776682.380507469	0.017673	-0.069250	-0.106780	0.411051	-0.063071	0.124392	-0.021227	0.025907	0.013637	-0.006683	-0.032092	-0.045360	1.371517	0.788083	-1.614735	-0.017026	-0.052739	-2.387068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
