time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	norm_dof	norm_value
1761600452.341401100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600452.441123962	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600452.541130781	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600452.641405821	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600452.741445303	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600452.841607094	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600452.941572189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600453.041440010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600453.141561031	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600453.242671490	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600453.341435194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600453.441638708	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600453.541332006	0.000000	0.029943	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600453.641474485	0.000000	0.029839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000499	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000008	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600453.741230488	0.000000	0.029519	0.000000	0.000000	0.000000	0.000000	0.000000	0.001994	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000083	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600453.841374159	0.000000	0.029190	0.000000	0.000000	0.000000	0.000000	0.000000	0.003973	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000299	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600453.941711664	0.000000	0.028854	0.000000	0.000000	0.000000	0.000000	0.000000	0.005438	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000546	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600454.041349649	0.000000	0.028510	0.000000	0.000000	0.000000	0.000000	0.000000	0.006886	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000867	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600454.141329765	0.000000	0.028041	0.000000	0.000000	0.000000	0.000000	0.000000	0.008318	-0.000000	0.000000	0.000000	0.000000	0.000000	0.001259	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600454.241412640	0.000000	0.027681	0.000000	0.000000	0.000000	0.000000	0.000000	0.010203	-0.000000	0.000000	0.000000	0.000000	0.000000	0.001892	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600454.341444254	0.000000	0.027195	0.000000	0.000000	0.000000	0.000000	0.000000	0.011593	-0.000000	0.000000	0.000000	0.000000	0.000000	0.002449	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600454.441137314	0.000000	0.026698	0.000000	0.000000	0.000000	0.000000	0.000000	0.013422	-0.000000	0.000000	0.000000	0.000000	0.000000	0.003298	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600454.541197777	0.000000	0.026322	0.000000	0.000000	0.000000	0.000000	0.000000	0.014765	-0.000000	0.000000	0.000000	0.000000	0.000000	0.004014	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600454.641500235	0.000000	0.025942	0.000000	0.000000	0.000000	0.000000	0.000000	0.016532	-0.000000	0.000000	0.000000	0.000000	0.000000	0.005072	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600454.741382599	0.000000	0.025429	0.000000	0.000000	0.000000	0.000000	0.000000	0.017836	-0.000000	0.000000	0.000000	0.000000	0.000000	0.005942	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600454.841444731	0.000000	0.025040	0.000000	0.000000	0.000000	0.000000	0.000000	0.019548	-0.000000	0.000000	0.000000	0.000000	0.000000	0.007203	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600454.941418648	0.000000	0.024649	0.000000	0.000000	0.000000	0.000000	0.000000	0.020807	-0.000000	0.000000	0.000000	0.000000	0.000000	0.008222	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600455.041307211	0.000000	0.024257	0.000000	0.000000	0.000000	0.000000	0.000000	0.022046	-0.000000	0.000000	0.000000	0.000000	0.000000	0.009304	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600455.141290426	0.000000	0.023731	0.000000	0.000000	0.000000	0.000000	0.000000	0.023265	-0.000000	0.000000	0.000000	0.000000	0.000000	0.010447	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600455.241176844	0.000000	0.023202	0.000000	0.000000	0.000000	0.000000	0.000000	0.024865	-0.000000	0.000000	0.000000	0.000000	0.000000	0.012065	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600455.341361761	0.000000	0.022807	0.000000	0.000000	0.000000	0.000000	0.000000	0.026034	-0.000000	0.000000	0.000000	0.000000	0.000000	0.013348	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600455.441219807	0.000000	0.022278	0.000000	0.000000	0.000000	0.000000	0.000000	0.027567	-0.000000	0.000000	0.000000	0.000000	0.000000	0.015147	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600455.541401386	0.000000	0.021880	0.000000	0.000000	0.000000	0.000000	0.000000	0.028699	-0.000000	0.000000	0.000000	0.000000	0.000000	0.016563	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600455.641452074	0.000000	0.021485	0.000000	0.000000	0.000000	0.000000	0.000000	0.030171	-0.000000	0.000000	0.000000	0.000000	0.000000	0.018538	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600455.741603136	0.000000	0.020959	0.000000	0.000000	0.000000	0.000000	0.000000	0.031610	-0.000000	0.000000	0.000000	0.000000	0.000000	0.020610	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600455.841290951	0.000000	0.020564	0.000000	0.000000	0.000000	0.000000	0.000000	0.032666	-0.000000	0.000000	0.000000	0.000000	0.000000	0.022226	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600455.941114187	0.000000	0.020043	0.000000	0.000000	0.000000	0.000000	0.000000	0.033701	-0.000000	0.000000	0.000000	0.000000	0.000000	0.023894	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600456.041209936	0.000000	0.019656	0.000000	0.000000	0.000000	0.000000	0.000000	0.034712	-0.000000	0.000000	0.000000	0.000000	0.000000	0.025612	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600456.141158819	0.000000	0.019141	0.000000	0.000000	0.000000	0.000000	0.000000	0.036035	-0.000000	0.000000	0.000000	0.000000	0.000000	0.027982	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600456.241242647	0.000000	0.018760	0.000000	0.000000	0.000000	0.000000	0.000000	0.037001	-0.000000	0.000000	0.000000	0.000000	0.000000	0.029816	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600456.341373920	0.000000	0.018380	0.000000	0.000000	0.000000	0.000000	0.000000	0.038264	-0.000000	0.000000	0.000000	0.000000	0.000000	0.032336	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600456.441594124	0.000000	0.017879	0.000000	0.000000	0.000000	0.000000	0.000000	0.039189	-0.000000	0.000000	0.000000	0.000000	0.000000	0.034280	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600456.541399002	0.000000	0.017505	0.000000	0.000000	0.000000	0.000000	0.000000	0.040398	-0.000000	0.000000	0.000000	0.000000	0.000000	0.036943	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600456.641400099	0.000000	0.017014	0.000000	0.000000	0.000000	0.000000	0.000000	0.041280	-0.000000	0.000000	0.000000	0.000000	0.000000	0.038992	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600456.741244555	0.000000	0.016652	0.000000	0.000000	0.000000	0.000000	0.000000	0.042422	-0.000000	0.000000	0.000000	0.000000	0.000000	0.041792	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600456.841407299	0.000000	0.016174	0.000000	0.000000	0.000000	0.000000	0.000000	0.043261	-0.000000	0.000000	0.000000	0.000000	0.000000	0.043941	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600456.941542625	0.000000	0.015818	0.000000	0.000000	0.000000	0.000000	0.000000	0.044355	-0.000000	0.000000	0.000000	0.000000	0.000000	0.046871	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600457.041116953	0.000000	0.015353	0.000000	0.000000	0.000000	0.000000	0.000000	0.045152	-0.000000	0.000000	0.000000	0.000000	0.000000	0.049116	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600457.141432285	0.000000	0.015011	0.000000	0.000000	0.000000	0.000000	0.000000	0.046183	-0.000000	0.000000	0.000000	0.000000	0.000000	0.052169	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600457.241366386	0.000000	0.014672	0.000000	0.000000	0.000000	0.000000	0.000000	0.046939	-0.000000	0.000000	0.000000	0.000000	0.000000	0.054503	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761600457.341547489	0.000000	0.014228	0.000000	0.000000	0.000000	0.000000	0.000000	0.047923	-0.000000	0.000000	0.000000	0.000000	0.000000	0.057674	-2.000000	0.000000	-0.000000	-0.000000	0.000000	1.191263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
