time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764780180.466429234	-0.028070	-0.195152	-0.114058	0.000000	0.000000	0.000000	0.565867	-0.100250	-0.059336	0.705995	0.320704	0.081384	0.648798	1.324302	-1.216660	0.012170	0.050851	-2.774634	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764780180.474760771	0.111203	0.072300	-0.142128	0.000000	0.000000	0.000000	0.567037	-0.100995	-0.059767	0.736479	0.313551	0.057887	0.643214	1.323228	-1.217555	0.019798	0.053884	-2.774244	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764780180.492906332	-0.143480	0.128285	-0.197392	0.000000	0.000000	0.000000	0.561192	-0.099983	-0.057173	0.764354	0.305481	0.032004	0.632144	1.321087	-1.219364	0.035294	0.060011	-2.773551	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764780180.494307041	-0.249366	0.159876	-0.122113	0.000000	0.000000	0.000000	0.561192	-0.099983	-0.057173	0.764354	0.305481	0.032004	0.632144	1.321087	-1.219364	0.035294	0.060011	-2.773551	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764780180.505417109	-0.278285	-0.009879	0.188248	0.000000	0.000000	0.000000	0.558355	-0.098991	-0.054191	0.765424	0.304791	0.017754	0.626647	1.319999	-1.220243	0.042979	0.063053	-2.773396	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764780180.514275789	-0.351026	0.065867	0.215931	0.000000	0.000000	0.000000	0.553857	-0.096005	-0.051425	0.757247	0.302405	0.010799	0.621229	1.318884	-1.221116	0.050492	0.066052	-2.773217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764780180.535033941	-0.362926	0.091344	0.208003	0.000000	0.000000	0.000000	0.542853	-0.089637	-0.047865	0.756380	0.275227	-0.019123	0.610565	1.316639	-1.222890	0.065806	0.071478	-2.773479	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764780180.535045624	-0.367988	0.142857	-0.021724	0.000000	0.000000	0.000000	0.542853	-0.089637	-0.047865	0.756380	0.275227	-0.019123	0.610565	1.316639	-1.222890	0.065806	0.071478	-2.773479	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764780180.543592453	-0.432418	0.138319	-0.012426	0.000000	0.000000	0.000000	0.542853	-0.089637	-0.047865	0.756380	0.275227	-0.019123	0.610565	1.316639	-1.222890	0.065806	0.071478	-2.773479	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764780180.562373161	-0.421075	0.090566	0.281115	0.000000	0.000000	0.000000	0.523357	-0.081049	-0.042743	0.727450	0.241618	-0.059005	0.595232	1.313216	-1.225523	0.087614	0.078560	-2.774768	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
