time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764952327.672697306	0.015624	0.003696	-0.007650	0.022404	-0.316267	0.023030	0.033228	0.006351	-0.006029	0.060561	-0.022890	-0.043456	0.459881	0.826067	-1.417920	0.018736	-0.086204	-2.793295	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.682137489	0.015209	0.003836	-0.007501	0.183207	-0.026702	-0.065912	0.032322	0.005789	-0.006536	0.060772	-0.025875	-0.043238	0.459598	0.825906	-1.417963	0.019389	-0.086487	-2.793736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.701553822	0.014794	0.003975	-0.007353	0.019313	0.161912	0.016013	0.035014	0.005704	-0.005871	0.065848	-0.023660	-0.045358	0.458947	0.825554	-1.417998	0.020834	-0.086881	-2.794661	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.712113619	0.014378	0.004115	-0.007204	-0.087319	-0.044594	0.167257	0.033269	0.005289	-0.005398	0.061351	-0.021022	-0.042758	0.458654	0.825393	-1.418019	0.021462	-0.087063	-2.795084	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.731696606	0.013963	0.004254	-0.007056	-0.211695	0.055452	0.026003	0.033125	0.004035	-0.006205	0.063216	-0.025004	-0.040316	0.458052	0.825113	-1.418099	0.022815	-0.087619	-2.795848	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.751668692	0.013548	0.004394	-0.006908	-0.629222	0.105984	-0.024185	0.033458	0.005006	-0.007002	0.052978	-0.018828	-0.041730	0.457451	0.824767	-1.418192	0.023740	-0.087851	-2.796714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.761876345	0.013132	0.004533	-0.006759	0.314975	0.402900	0.014991	0.032574	0.006552	-0.006479	0.044226	-0.021806	-0.041046	0.457166	0.824574	-1.418223	0.024147	-0.088098	-2.797142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.781506300	0.012717	0.004673	-0.006611	0.178712	0.407672	-0.060505	0.039721	0.001265	-0.004196	0.062376	-0.006807	-0.041282	0.456277	0.824337	-1.418182	0.025793	-0.087918	-2.797953	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.792247057	0.012302	0.004813	-0.006463	-0.589097	-0.216485	0.061607	0.035362	0.003359	-0.006201	0.049653	-0.009424	-0.042883	0.455979	0.824166	-1.418238	0.026231	-0.088034	-2.798434	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.811969995	0.011886	0.004952	-0.006314	-0.322775	-0.083559	0.079787	0.033886	0.003507	-0.007729	0.044430	-0.013402	-0.039406	0.455390	0.823874	-1.418362	0.027068	-0.088358	-2.799155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.831791639	0.011471	0.005092	-0.006166	-0.464652	0.107386	0.016163	0.034359	0.004278	-0.006761	0.036889	-0.012729	-0.039728	0.454766	0.823542	-1.418413	0.027722	-0.088576	-2.799960	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.841948271	0.011056	0.005231	-0.006017	-0.295199	-0.020138	0.075955	0.033196	0.005547	-0.006064	0.030500	-0.010182	-0.038921	0.454481	0.823366	-1.418437	0.028001	-0.088642	-2.800350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.852962255	0.010641	0.005371	-0.005869	-0.125156	-0.009300	0.080543	0.030771	0.004258	-0.007191	0.030640	-0.013155	-0.038120	0.454192	0.823226	-1.418499	0.028378	-0.088809	-2.800768	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
