time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764952327.672710657	0.005342	-0.004855	-0.004646	-0.231073	0.130842	0.004432	0.033724	0.005187	-0.005962	0.067009	-0.024824	-0.042658	0.459881	0.826067	-1.417920	0.018736	-0.086204	-2.793295	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.682152987	0.002969	-0.003343	-0.003217	-0.156730	0.085140	0.004455	0.033774	0.005141	-0.006006	0.064828	-0.023589	-0.042617	0.459598	0.825906	-1.417963	0.019389	-0.086487	-2.793736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.701560259	0.001866	-0.003528	-0.003425	-0.161136	0.080991	0.007215	0.033809	0.005090	-0.006055	0.062488	-0.022368	-0.042530	0.458947	0.825554	-1.417998	0.020834	-0.086881	-2.794661	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.712119341	0.000905	-0.003739	-0.003654	-0.167084	0.078274	0.009791	0.033830	0.005035	-0.006108	0.059999	-0.021162	-0.042400	0.458654	0.825393	-1.418019	0.021462	-0.087063	-2.795084	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.732193708	0.000026	-0.003105	-0.003049	-0.136249	0.059866	0.009597	0.033837	0.004976	-0.006167	0.057369	-0.019970	-0.042230	0.458052	0.825113	-1.418099	0.022815	-0.087619	-2.795848	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.751684904	-0.000812	-0.004397	-0.004332	-0.189924	0.078702	0.015325	0.033831	0.004912	-0.006229	0.054608	-0.018793	-0.042021	0.457451	0.824767	-1.418192	0.023740	-0.087851	-2.796714	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.761920452	-0.001599	-0.004620	-0.004562	-0.196852	0.077305	0.017647	0.033813	0.004845	-0.006295	0.051724	-0.017630	-0.041774	0.457166	0.824574	-1.418223	0.024147	-0.088098	-2.797142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.781573057	-0.002300	-0.004768	-0.004715	-0.200767	0.075043	0.019583	0.033783	0.004774	-0.006365	0.048725	-0.016482	-0.041493	0.456277	0.824337	-1.418182	0.025793	-0.087918	-2.797953	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.792323351	-0.002974	-0.004971	-0.004919	-0.207115	0.073973	0.021653	0.033743	0.004700	-0.006439	0.045620	-0.015349	-0.041179	0.455979	0.824166	-1.418238	0.026231	-0.088034	-2.798434	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.812024593	-0.002774	-0.003978	-0.003937	-0.164195	0.056236	0.018193	0.033693	0.004623	-0.006515	0.042418	-0.014230	-0.040834	0.455390	0.823874	-1.418362	0.027068	-0.088358	-2.799155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.831865788	-0.004244	-0.005428	-0.005367	-0.222124	0.073192	0.025860	0.033633	0.004543	-0.006594	0.039127	-0.013125	-0.040460	0.454766	0.823542	-1.418413	0.027722	-0.088576	-2.799960	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.842012644	-0.006713	-0.007855	-0.007757	-0.318945	0.101419	0.038750	0.033565	0.004460	-0.006676	0.035757	-0.012035	-0.040058	0.454481	0.823366	-1.418437	0.028001	-0.088642	-2.800350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.853224039	-0.005281	-0.005760	-0.005679	-0.232232	0.071465	0.029283	0.033490	0.004375	-0.006760	0.032315	-0.010959	-0.039632	0.454192	0.823226	-1.418499	0.028378	-0.088809	-2.800768	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.871921539	-0.005749	-0.005928	-0.005831	-0.237439	0.070900	0.030934	0.033407	0.004288	-0.006846	0.028811	-0.009898	-0.039182	0.453560	0.822905	-1.418621	0.028868	-0.088936	-2.801433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.882967234	-0.008512	-0.008387	-0.008228	-0.333934	0.097001	0.044784	0.033319	0.004199	-0.006934	0.025253	-0.008850	-0.038712	0.453268	0.822757	-1.418664	0.029207	-0.089016	-2.801848	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.893366575	-0.006443	-0.006121	-0.005986	-0.242356	0.068650	0.033352	0.033225	0.004108	-0.007022	0.021650	-0.007817	-0.038222	0.452968	0.822619	-1.418675	0.029479	-0.089092	-2.802246	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.912852764	-0.005199	-0.004797	-0.004674	-0.188948	0.052314	0.026611	0.033126	0.004016	-0.007112	0.018010	-0.006799	-0.037715	0.452359	0.822297	-1.418730	0.029736	-0.089208	-2.802953	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.932040215	-0.005330	-0.004807	-0.004664	-0.188389	0.051097	0.027091	0.033024	0.003922	-0.007203	0.014342	-0.005794	-0.037193	0.451750	0.822008	-1.418849	0.030047	-0.089289	-2.803736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.951890945	-0.007106	-0.006300	-0.006084	-0.245733	0.065438	0.036011	0.032918	0.003828	-0.007295	0.010655	-0.004804	-0.036658	0.451187	0.821714	-1.418974	0.030199	-0.089398	-2.804433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.962089300	-0.010821	-0.009476	-0.009104	-0.367979	0.096420	0.054859	0.032810	0.003733	-0.007386	0.006958	-0.003828	-0.036111	0.450885	0.821566	-1.418997	0.030234	-0.089421	-2.804780	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.971991062	-0.010118	-0.008794	-0.008400	-0.340013	0.087852	0.051488	0.032701	0.003638	-0.007478	0.003259	-0.002866	-0.035555	0.450538	0.821395	-1.419038	0.030240	-0.089368	-2.805167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952327.983828068	-0.007198	-0.006236	-0.005919	-0.240130	0.061313	0.036885	0.032590	0.003542	-0.007569	-0.000433	-0.001918	-0.034992	0.450217	0.821285	-1.419096	0.030467	-0.089397	-2.805608	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952328.002679348	-0.005787	-0.005020	-0.004731	-0.192528	0.048685	0.029962	0.032480	0.003446	-0.007659	-0.004110	-0.000984	-0.034423	0.449719	0.820958	-1.419213	0.030086	-0.089468	-2.806142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952328.021898031	-0.007084	-0.006180	-0.005778	-0.236098	0.059258	0.037185	0.032370	0.003351	-0.007749	-0.007763	-0.000065	-0.033851	0.449069	0.820670	-1.419283	0.029973	-0.089424	-2.806775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952328.033482552	-0.007160	-0.006311	-0.005849	-0.240165	0.059966	0.038244	0.032262	0.003256	-0.007837	-0.011383	0.000841	-0.033277	0.448762	0.820524	-1.419325	0.029894	-0.089395	-2.807209	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952328.051870108	-0.004803	-0.003670	-0.003931	-0.189319	0.047950	0.027380	0.032155	0.003162	-0.007924	-0.014961	0.001733	-0.032705	0.448203	0.820241	-1.419449	0.029414	-0.089341	-2.807834	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952328.071774006	-0.004481	-0.002465	-0.004156	-0.179850	0.043275	0.024654	0.032078	0.003115	-0.007988	-0.018632	0.002677	-0.032229	0.447606	0.819941	-1.419550	0.029000	-0.089270	-2.808469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952328.091905355	-0.004103	-0.002473	-0.004519	-0.169550	0.038633	0.025374	0.031976	0.003063	-0.008090	-0.022161	0.003465	-0.031718	0.446938	0.819722	-1.419621	0.028733	-0.089117	-2.809130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952328.111800432	-0.004667	-0.004038	-0.003550	-0.213996	0.053474	0.032522	0.031913	0.003016	-0.008169	-0.025418	0.004223	-0.031213	0.446400	0.819418	-1.419762	0.028022	-0.089015	-2.809693	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952328.121901512	-0.005136	-0.006869	-0.002888	-0.206006	0.051299	0.030898	0.031836	0.002942	-0.008197	-0.028580	0.005069	-0.030742	0.446110	0.819265	-1.419825	0.027730	-0.088885	-2.810042	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764952328.141502142	-0.005214	-0.006052	-0.004750	-0.208017	0.052672	0.033745	0.031761	0.002812	-0.008254	-0.031537	0.005747	-0.030296	0.445482	0.818985	-1.419890	0.026938	-0.088752	-2.810655	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
