time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N	norm_dof	norm_value
1761540955.393314838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.017182	-3.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761540955.492631674	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.017182	-3.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761540955.592358351	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.017182	-3.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761540955.692473888	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.017182	-3.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761540955.792393208	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.017182	-3.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761540955.892529011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.017182	-3.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761540955.992770433	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.017182	-3.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761540956.092745543	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.017182	-3.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1761540956.192651749	0.000000	0.000000	0.038894	0.000000	0.000000	0.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	-0.017182	-3.000000	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540956.292415380	0.000000	0.000000	0.038423	0.000000	0.000000	0.000000	0.000000	-0.000000	0.001945	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.999935	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540956.392388344	-0.000000	0.000000	0.037695	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.003874	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.999774	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540956.492299318	-0.000000	0.000000	0.036697	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.005771	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.999516	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540956.592557430	-0.000000	0.000000	0.035937	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.008234	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.999029	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540956.692599058	-0.000000	0.000000	0.034901	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.010043	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.998556	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540956.792557716	-0.000000	0.000000	0.034119	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.011806	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.997995	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540956.892582655	-0.000000	0.000000	0.033326	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.014106	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.997112	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540956.992325544	-0.000000	0.000000	0.032261	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.015786	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.996350	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540957.092467785	-0.000000	0.000000	0.031464	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.017417	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.995506	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540957.192426920	-0.000000	0.000000	0.030395	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.019541	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.994256	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540957.292555332	-0.000000	0.000000	0.029589	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.021096	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.993227	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540957.392765284	-0.000000	0.000000	0.028525	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.023096	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.991737	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540957.492436647	-0.000000	0.000000	0.027737	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.024540	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.990534	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540957.592307568	-0.000000	0.000000	0.026689	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.026415	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.988819	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540957.692681551	-0.000000	0.000000	0.025917	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.027767	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.987453	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540957.792495728	-0.000000	0.000000	0.025156	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.029508	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.985529	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540957.892648458	-0.000000	0.000000	0.024396	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.030778	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.984011	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540957.992571592	-0.000000	0.000000	0.023399	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.032010	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.982431	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540958.092484951	-0.000000	0.000000	0.022417	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.033604	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.980230	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540958.196510792	-0.000000	0.000000	0.021939	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.034741	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.978512	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540958.292508602	-0.000000	0.000000	0.021001	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.035846	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.976738	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540958.392348289	-0.000000	0.000000	0.020076	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.037277	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.974288	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540958.492462873	-0.000000	0.000000	0.019398	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.038312	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.972389	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540958.592375755	-0.000000	0.000000	0.018523	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.039628	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.969780	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540958.692696571	-0.000000	0.000000	0.017889	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.040568	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.967767	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540958.792694807	-0.000000	0.000000	0.017266	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.041782	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.965011	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540958.892742157	-0.000000	0.000000	0.016657	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.042656	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.962893	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540958.992535114	-0.000000	0.000000	0.015870	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.043776	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.960002	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540959.092731714	-0.000000	0.000000	0.015293	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.044583	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.957786	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540959.192796469	-0.000000	0.000000	0.014736	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.045357	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.955531	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540959.292504072	-0.000000	0.000000	0.014019	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.046103	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.953238	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540959.392520905	-0.000000	0.000000	0.013494	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.047062	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.950125	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540959.492866993	-0.000000	0.000000	0.012824	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.047745	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.947748	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540959.592480421	-0.000000	0.000000	0.012335	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.048409	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.945339	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540959.692420244	-0.000000	0.000000	0.011712	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.049247	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.942076	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540959.792372227	-0.000000	0.000000	0.011259	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.049854	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.939594	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540959.892518997	-0.000000	0.000000	0.010824	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.050620	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.936238	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540959.992499352	-0.000000	0.000000	0.010266	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.051348	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.932833	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540960.092788696	-0.000000	0.000000	0.009860	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.051871	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.930248	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540960.192573071	-0.000000	0.000000	0.009345	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.052371	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.927637	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540960.292792082	-0.000000	0.000000	0.008970	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.053011	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.924119	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540960.392388344	-0.000000	0.000000	0.008496	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.053466	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.921453	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
1761540960.492668867	-0.000000	0.000000	0.008048	0.000000	-0.000000	-0.000000	0.000000	-0.000000	0.054040	0.000000	0.000000	0.000000	0.000000	-0.017183	-2.917865	0.000000	-0.000000	-0.000000	0.000000	0.000000	1.539338	0.000000	0.000000	0.000000	0.000000	0.000000
