time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764696168.464397192	-0.619334	0.010918	-0.029949	0.000000	0.000000	0.000000	0.013388	0.011246	-0.047827	-0.008105	0.005187	-0.011309	nan	nan	nan	-0.089735	-3.373487	140.454956	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.487756729	-0.618655	0.008043	-0.035134	0.000000	0.000000	0.000000	0.013388	0.011246	-0.047827	-0.009009	0.004989	-0.003955	nan	nan	nan	-0.096696	-3.367718	140.437881	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.509527683	-0.626469	-0.003974	-0.041488	0.000000	0.000000	0.000000	0.013388	0.011246	-0.047827	0.000620	-0.000004	-0.005547	nan	nan	nan	-0.093791	-3.366688	140.421844	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.536730051	-0.609616	0.010532	-0.026967	0.000000	0.000000	0.000000	0.013388	0.011246	-0.047827	-0.004797	-0.001907	-0.003526	nan	nan	nan	-0.092574	-3.369862	140.420151	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.548851252	-0.615569	0.012923	-0.037814	0.000000	0.000000	0.000000	0.013388	0.011246	-0.047827	-0.008680	-0.003236	-0.008010	nan	nan	nan	-0.098963	-3.375728	140.419418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.569386244	-0.620562	0.004848	-0.036121	0.000000	0.000000	0.000000	0.013388	0.011246	-0.047827	-0.001841	-0.000412	-0.013022	nan	nan	nan	-0.097809	-3.376665	140.402664	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.586534262	-0.620881	0.010068	-0.036980	0.000000	0.000000	0.000000	0.013388	0.011246	-0.047827	-0.006863	0.000757	-0.007776	nan	nan	nan	-0.099403	-3.375630	140.379547	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.605298281	-0.617483	0.006147	-0.035263	0.000000	0.000000	0.000000	0.013388	0.011246	-0.047827	-0.002851	0.001121	-0.007573	nan	nan	nan	-0.099665	-3.373477	140.370239	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.623898029	-0.609425	0.012785	-0.027948	0.000000	0.000000	0.000000	0.013388	0.011246	-0.047827	-0.008480	-0.005680	-0.009802	nan	nan	nan	-0.103386	-3.378657	140.365906	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.643635035	-0.613750	0.009074	-0.028037	0.000000	0.000000	0.000000	0.013388	0.011246	-0.047827	-0.003023	0.006430	-0.005368	nan	nan	nan	-0.102610	-3.372987	140.356140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
