time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764704289.649590969	-0.679079	-0.011863	-0.037597	0.000000	0.000000	0.000000	-0.000888	0.000829	-0.010231	0.016453	0.013472	-0.010994	0.418702	-0.249823	-0.145735	0.003258	-0.049837	1.473312	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.651407242	-0.674718	-0.002175	-0.031293	0.000000	0.000000	0.000000	-0.000888	0.000829	-0.010231	0.016453	0.013472	-0.010994	0.418702	-0.249823	-0.145735	0.003258	-0.049837	1.473312	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.661297798	-0.665493	-0.007313	-0.040988	0.000000	0.000000	0.000000	-0.000658	0.000330	-0.008863	0.014064	0.011509	-0.010548	0.418704	-0.249824	-0.145810	0.003379	-0.049741	1.473211	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.670004606	-0.663892	-0.001721	-0.028220	0.000000	0.000000	0.000000	-0.002542	0.000141	-0.009830	0.012788	0.003756	-0.010892	0.418700	-0.249863	-0.145921	0.003501	-0.049781	1.473098	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.692129374	-0.675371	-0.001043	-0.033386	0.000000	0.000000	0.000000	0.000741	-0.004063	-0.010558	0.025305	0.012735	-0.005957	0.418781	-0.249827	-0.146153	0.003977	-0.049395	1.472900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.693084478	-0.662277	-0.005171	-0.027554	0.000000	0.000000	0.000000	0.000741	-0.004063	-0.010558	0.025305	0.012735	-0.005957	0.418781	-0.249827	-0.146153	0.003977	-0.049395	1.472900	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.707525253	-0.661203	-0.004221	-0.027181	0.000000	0.000000	0.000000	-0.001730	0.000658	-0.008996	0.004777	0.008498	-0.005012	0.418699	-0.249858	-0.146326	0.003854	-0.049265	1.472733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.709647894	-0.659746	-0.014494	-0.036179	0.000000	0.000000	0.000000	-0.001730	0.000658	-0.008996	0.004777	0.008498	-0.005012	0.418699	-0.249858	-0.146326	0.003854	-0.049265	1.472733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.736405134	-0.662556	-0.013720	-0.027197	0.000000	0.000000	0.000000	-0.001136	0.001823	-0.008411	0.000818	0.010945	-0.005967	0.418635	-0.249855	-0.146491	0.003795	-0.048983	1.472589	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.737754583	-0.663889	-0.016999	-0.030363	0.000000	0.000000	0.000000	-0.001136	0.001823	-0.008411	0.000818	0.010945	-0.005967	0.418635	-0.249855	-0.146491	0.003795	-0.048983	1.472589	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.743712902	-0.654874	-0.024904	-0.026896	0.000000	0.000000	0.000000	-0.002541	-0.002463	-0.011156	0.020028	0.007553	-0.010295	0.418751	-0.249926	-0.146749	0.004526	-0.048906	1.472321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.749538183	-0.662191	-0.021724	-0.036189	0.000000	0.000000	0.000000	-0.002541	-0.002463	-0.011156	0.020028	0.007553	-0.010295	0.418751	-0.249926	-0.146749	0.004526	-0.048906	1.472321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.760393858	-0.648518	-0.024456	-0.027922	0.000000	0.000000	0.000000	0.000416	0.000812	-0.009131	0.003539	0.018120	-0.005749	0.418714	-0.249885	-0.146818	0.004396	-0.048617	1.472310	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.780124426	-0.645947	-0.020745	-0.031036	0.000000	0.000000	0.000000	-0.002802	-0.001200	-0.010443	0.020195	0.009680	-0.017559	0.418740	-0.249943	-0.146939	0.004780	-0.048604	1.472016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.781422615	-0.644726	-0.019298	-0.034822	0.000000	0.000000	0.000000	-0.002472	-0.001783	-0.009428	0.022036	0.011308	-0.014575	0.418783	-0.249982	-0.147110	0.005270	-0.048343	1.471784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.789581776	-0.651495	-0.020829	-0.029974	0.000000	0.000000	0.000000	-0.002472	-0.001783	-0.009428	0.022036	0.011308	-0.014575	0.418783	-0.249982	-0.147110	0.005270	-0.048343	1.471784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.804869652	-0.662630	-0.025015	-0.034502	0.000000	0.000000	0.000000	0.000802	-0.002406	-0.010299	0.027625	0.016762	-0.004573	0.418817	-0.249939	-0.147220	0.005601	-0.048120	1.471840	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.815318346	-0.654697	-0.035543	-0.028624	0.000000	0.000000	0.000000	0.001043	-0.000719	-0.011831	0.012476	0.019986	-0.010935	0.418808	-0.249917	-0.147361	0.005581	-0.047872	1.471657	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.820927382	-0.662769	-0.025968	-0.027215	0.000000	0.000000	0.000000	0.001043	-0.000719	-0.011831	0.012476	0.019986	-0.010935	0.418808	-0.249917	-0.147361	0.005581	-0.047872	1.471657	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.830045462	-0.644445	-0.018625	-0.029638	0.000000	0.000000	0.000000	0.000429	-0.000398	-0.010102	0.014348	0.018387	-0.010609	0.418809	-0.249913	-0.147528	0.005913	-0.047537	1.471454	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.846997499	-0.647566	-0.026783	-0.024788	0.000000	0.000000	0.000000	-0.000405	0.000637	-0.009925	0.004039	0.016203	-0.011378	0.418773	-0.249925	-0.147723	0.005800	-0.047255	1.471213	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.849871874	-0.630573	-0.032525	-0.020705	0.000000	0.000000	0.000000	-0.000405	0.000637	-0.009925	0.004039	0.016203	-0.011378	0.418773	-0.249925	-0.147723	0.005800	-0.047255	1.471213	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.859236956	-0.645298	-0.025263	-0.034472	0.000000	0.000000	0.000000	-0.000405	0.000637	-0.009925	0.004039	0.016203	-0.011378	0.418773	-0.249925	-0.147723	0.005800	-0.047255	1.471213	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.870284319	-0.637791	-0.017292	-0.033418	0.000000	0.000000	0.000000	0.000555	0.000402	-0.008796	0.006514	0.012773	-0.010383	0.418773	-0.249887	-0.147876	0.005989	-0.047067	1.471026	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.894174099	-0.644840	-0.039787	-0.045197	0.000000	0.000000	0.000000	-0.000405	0.000511	-0.009213	0.002215	0.012350	-0.010720	0.418758	-0.249904	-0.148068	0.005958	-0.046829	1.470807	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.895786524	-0.645714	-0.029194	-0.029636	0.000000	0.000000	0.000000	-0.000405	0.000511	-0.009213	0.002215	0.012350	-0.010720	0.418758	-0.249904	-0.148068	0.005958	-0.046829	1.470807	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.899261475	-0.632222	-0.029509	-0.037231	0.000000	0.000000	0.000000	-0.000405	0.000511	-0.009213	0.002215	0.012350	-0.010720	0.418758	-0.249904	-0.148068	0.005958	-0.046829	1.470807	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.909327745	-0.635872	-0.029373	-0.034461	0.000000	0.000000	0.000000	-0.001346	0.001756	-0.010772	-0.004309	0.008321	-0.011524	0.418693	-0.249932	-0.148318	0.005751	-0.046741	1.470559	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.932733536	-0.639717	-0.035496	-0.028988	0.000000	0.000000	0.000000	-0.001784	0.001176	-0.009353	-0.000966	0.006630	-0.010105	0.418676	-0.249966	-0.148475	0.005805	-0.046643	1.470390	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.932748795	-0.631701	-0.036060	-0.023785	0.000000	0.000000	0.000000	-0.001784	0.001176	-0.009353	-0.000966	0.006630	-0.010105	0.418676	-0.249966	-0.148475	0.005805	-0.046643	1.470390	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.940871954	-0.627694	-0.035786	-0.030711	0.000000	0.000000	0.000000	-0.001058	0.000366	-0.009806	0.006602	0.015704	-0.010203	0.418680	-0.249965	-0.148578	0.005953	-0.046394	1.470288	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.949379921	-0.626017	-0.035372	-0.034161	0.000000	0.000000	0.000000	-0.001443	0.000370	-0.010067	0.003160	0.012359	-0.008014	0.418674	-0.249979	-0.148686	0.005952	-0.046300	1.470227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.960716724	-0.628185	-0.028395	-0.024109	0.000000	0.000000	0.000000	-0.001443	0.000370	-0.010067	0.003160	0.012359	-0.008014	0.418674	-0.249979	-0.148686	0.005952	-0.046300	1.470227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.974965334	-0.614807	-0.029907	-0.014805	0.000000	0.000000	0.000000	0.000604	0.000831	-0.010800	-0.000125	0.021433	-0.009048	0.418654	-0.249913	-0.148914	0.005893	-0.045687	1.470029	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.980199575	-0.621908	-0.039273	-0.023435	0.000000	0.000000	0.000000	0.000604	0.000831	-0.010800	-0.000125	0.021433	-0.009048	0.418654	-0.249913	-0.148914	0.005893	-0.045687	1.470029	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704289.989934206	-0.619350	-0.035433	-0.028275	0.000000	0.000000	0.000000	-0.000015	-0.000741	-0.010558	0.002332	0.021086	-0.010650	0.418698	-0.249920	-0.149120	0.005999	-0.045273	1.469787	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764704290.000269413	-0.624377	-0.045313	-0.027282	0.000000	0.000000	0.000000	-0.000015	-0.000741	-0.010558	0.002332	0.021086	-0.010650	0.418698	-0.249920	-0.149120	0.005999	-0.045273	1.469787	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
