time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764706783.442477703	-0.796208	0.025869	-0.016596	0.000000	0.000000	0.000000	-0.010438	0.004738	0.043651	-0.023688	0.012733	-0.032480	0.783019	0.807216	-0.840201	0.002553	-0.061952	1.557688	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.444306135	-0.798062	-0.002710	-0.028763	0.000000	0.000000	0.000000	-0.010438	0.004738	0.043651	-0.023688	0.012733	-0.032480	0.783019	0.807216	-0.840201	0.002553	-0.061952	1.557688	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.458795309	-0.798912	0.018568	-0.030108	0.000000	0.000000	0.000000	-0.008581	0.001681	0.041909	-0.009529	0.018006	-0.029936	0.782999	0.807003	-0.839380	0.002434	-0.061612	1.557116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.463508129	-0.797807	0.028983	-0.022846	0.000000	0.000000	0.000000	-0.008581	0.001681	0.041909	-0.009529	0.018006	-0.029936	0.782999	0.807003	-0.839380	0.002434	-0.061612	1.557116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.480106831	-0.790087	0.027399	-0.022517	0.000000	0.000000	0.000000	-0.011320	0.004413	0.041143	-0.018250	0.009542	-0.028484	0.782856	0.806681	-0.838604	0.001936	-0.061589	1.556584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.484085560	-0.787665	0.019464	-0.030096	0.000000	0.000000	0.000000	-0.011320	0.004413	0.041143	-0.018250	0.009542	-0.028484	0.782856	0.806681	-0.838604	0.001936	-0.061589	1.556584	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.491913080	-0.782320	0.017664	-0.035300	0.000000	0.000000	0.000000	-0.011171	0.003944	0.040720	-0.020079	0.012165	-0.028804	0.782784	0.806411	-0.837811	0.001532	-0.061292	1.555999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.500705719	-0.777793	0.028586	-0.019751	0.000000	0.000000	0.000000	-0.011171	0.003944	0.040720	-0.020079	0.012165	-0.028804	0.782784	0.806411	-0.837811	0.001532	-0.061292	1.555999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.520868301	-0.790349	0.030010	-0.036334	0.000000	0.000000	0.000000	-0.010502	0.006734	0.043817	-0.022362	0.012575	-0.023051	0.782638	0.806166	-0.836926	0.001051	-0.060993	1.555566	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.533169270	-0.782645	0.037527	-0.038751	0.000000	0.000000	0.000000	-0.012376	0.004057	0.040204	-0.008003	0.005174	-0.024827	0.782620	0.805978	-0.836518	0.001142	-0.061018	1.555261	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.537729502	-0.791779	0.033186	-0.026976	0.000000	0.000000	0.000000	-0.012376	0.004057	0.040204	-0.008003	0.005174	-0.024827	0.782620	0.805978	-0.836518	0.001142	-0.061018	1.555261	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.543298960	-0.792868	0.035077	-0.024288	0.000000	0.000000	0.000000	-0.011882	0.003878	0.040793	-0.016749	0.006048	-0.026752	0.782549	0.805724	-0.835772	0.000706	-0.060890	1.554733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.554662704	-0.793784	0.039040	-0.037358	0.000000	0.000000	0.000000	-0.011882	0.003878	0.040793	-0.016749	0.006048	-0.026752	0.782549	0.805724	-0.835772	0.000706	-0.060890	1.554733	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.574631929	-0.789984	0.026242	-0.024945	0.000000	0.000000	0.000000	-0.009416	0.003802	0.040545	-0.018845	0.024387	-0.027783	0.782491	0.805506	-0.834973	0.000392	-0.060251	1.554145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.580770731	-0.758528	0.046790	-0.016301	0.000000	0.000000	0.000000	-0.010924	0.008288	0.040633	-0.027902	0.015806	-0.025426	0.782359	0.805358	-0.834568	0.000031	-0.060177	1.553910	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.586151123	-0.776864	0.041481	-0.027665	0.000000	0.000000	0.000000	-0.010924	0.008288	0.040633	-0.027902	0.015806	-0.025426	0.782359	0.805358	-0.834568	0.000031	-0.060177	1.553910	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.601035595	-0.785045	0.033326	-0.034592	0.000000	0.000000	0.000000	-0.011993	0.006193	0.041788	-0.024808	0.012034	-0.026828	0.782272	0.805048	-0.833729	-0.000368	-0.060013	1.553347	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.611921549	-0.774169	0.044451	-0.035310	0.000000	0.000000	0.000000	-0.010732	0.001733	0.041659	-0.009588	0.009418	-0.024286	0.782297	0.804929	-0.833324	-0.000300	-0.059946	1.553131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.617332697	-0.777026	0.039904	-0.030473	0.000000	0.000000	0.000000	-0.008854	0.001072	0.042351	-0.001957	0.022906	-0.028369	0.782291	0.804833	-0.832894	-0.000223	-0.059578	1.552802	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.620691776	-0.776645	0.040133	-0.034250	0.000000	0.000000	0.000000	-0.008854	0.001072	0.042351	-0.001957	0.022906	-0.028369	0.782291	0.804833	-0.832894	-0.000223	-0.059578	1.552802	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.631813526	-0.774404	0.052298	-0.034910	0.000000	0.000000	0.000000	-0.010719	0.003284	0.041608	-0.006008	0.022282	-0.030399	0.782234	0.804685	-0.832498	-0.000303	-0.059363	1.552480	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.652331114	-0.770190	0.045396	-0.034316	0.000000	0.000000	0.000000	-0.013717	0.006532	0.037682	-0.025469	0.002847	-0.029213	0.782054	0.804359	-0.831790	-0.000969	-0.059373	1.551906	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.652340174	-0.772730	0.057216	-0.016970	0.000000	0.000000	0.000000	-0.013717	0.006532	0.037682	-0.025469	0.002847	-0.029213	0.782054	0.804359	-0.831790	-0.000969	-0.059373	1.551906	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.660937309	-0.764309	0.049488	-0.031497	0.000000	0.000000	0.000000	-0.011633	0.002190	0.042508	-0.013482	0.011706	-0.023425	0.782073	0.804234	-0.831317	-0.000973	-0.059165	1.551727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.671710491	-0.745718	0.063205	-0.015630	0.000000	0.000000	0.000000	-0.011243	0.005124	0.042623	-0.027596	0.014461	-0.024954	0.781989	0.804102	-0.830897	-0.001375	-0.058993	1.551462	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.690519810	-0.749483	0.049934	-0.024568	0.000000	0.000000	0.000000	-0.010057	0.005267	0.040181	-0.016035	0.023080	-0.027301	0.781926	0.803861	-0.830092	-0.001312	-0.058402	1.550888	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.692223549	-0.758456	0.062448	-0.025267	0.000000	0.000000	0.000000	-0.010057	0.005267	0.040181	-0.016035	0.023080	-0.027301	0.781926	0.803861	-0.830092	-0.001312	-0.058402	1.550888	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.700899363	-0.764675	0.055511	-0.040098	0.000000	0.000000	0.000000	-0.010237	0.006409	0.037640	-0.023022	0.022472	-0.030721	0.781848	0.803738	-0.829747	-0.001593	-0.058183	1.550544	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.727294207	-0.765880	0.053622	-0.028741	0.000000	0.000000	0.000000	-0.011510	0.002149	0.042450	-0.007444	0.012197	-0.026967	0.781769	0.803324	-0.828494	-0.001801	-0.057810	1.549742	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.727326393	-0.756734	0.051910	-0.033225	0.000000	0.000000	0.000000	-0.011510	0.002149	0.042450	-0.007444	0.012197	-0.026967	0.781769	0.803324	-0.828494	-0.001801	-0.057810	1.549742	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.731334686	-0.758526	0.063370	-0.025581	0.000000	0.000000	0.000000	-0.011510	0.002149	0.042450	-0.007444	0.012197	-0.026967	0.781769	0.803324	-0.828494	-0.001801	-0.057810	1.549742	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.741168737	-0.753997	0.077311	-0.028381	0.000000	0.000000	0.000000	-0.012241	0.003633	0.041857	-0.011345	0.011509	-0.025629	0.781714	0.803172	-0.828090	-0.001939	-0.057703	1.549499	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.751240253	-0.741881	0.076505	-0.020421	0.000000	0.000000	0.000000	-0.012241	0.003633	0.041857	-0.011345	0.011509	-0.025629	0.781714	0.803172	-0.828090	-0.001939	-0.057703	1.549499	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.770722389	-0.746310	0.072520	-0.032142	0.000000	0.000000	0.000000	-0.009116	0.006175	0.039460	-0.016851	0.021624	-0.027982	0.781524	0.802820	-0.826972	-0.002376	-0.057014	1.548595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.772974968	-0.748615	0.066199	-0.038407	0.000000	0.000000	0.000000	-0.009116	0.006175	0.039460	-0.016851	0.021624	-0.027982	0.781524	0.802820	-0.826972	-0.002376	-0.057014	1.548595	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.780731201	-0.744076	0.057506	-0.035977	0.000000	0.000000	0.000000	-0.011487	0.005698	0.042262	-0.018005	0.015336	-0.022463	0.781467	0.802658	-0.826532	-0.002557	-0.056925	1.548426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.791298389	-0.735936	0.076197	-0.016975	0.000000	0.000000	0.000000	-0.011761	0.004430	0.043153	-0.014962	0.021365	-0.025610	0.781431	0.802514	-0.826099	-0.002660	-0.056651	1.548137	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.810925961	-0.724434	0.070983	-0.022523	0.000000	0.000000	0.000000	-0.011127	0.003561	0.040971	-0.005650	0.020015	-0.029949	0.781370	0.802262	-0.825338	-0.002548	-0.056281	1.547451	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.810957909	-0.740036	0.071729	-0.032553	0.000000	0.000000	0.000000	-0.011127	0.003561	0.040971	-0.005650	0.020015	-0.029949	0.781370	0.802262	-0.825338	-0.002548	-0.056281	1.547451	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.820919752	-0.737675	0.066925	-0.023896	0.000000	0.000000	0.000000	-0.010955	0.003803	0.039609	-0.008160	0.017628	-0.029846	0.781326	0.802135	-0.824965	-0.002637	-0.056130	1.547154	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.831578493	-0.724197	0.073566	-0.043920	0.000000	0.000000	0.000000	-0.010332	0.003454	0.040158	-0.007455	0.026662	-0.024356	0.781290	0.802016	-0.824563	-0.002694	-0.055773	1.546964	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.852353811	-0.718773	0.079447	-0.017990	0.000000	0.000000	0.000000	-0.011261	0.004058	0.040096	0.002371	0.023856	-0.028681	0.781168	0.801751	-0.823771	-0.002717	-0.055282	1.546335	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.852366686	-0.739292	0.082229	-0.033179	0.000000	0.000000	0.000000	-0.011261	0.004058	0.040096	0.002371	0.023856	-0.028681	0.781168	0.801751	-0.823771	-0.002717	-0.055282	1.546335	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764706783.860910892	-0.732285	0.070732	-0.029721	0.000000	0.000000	0.000000	-0.011615	0.004147	0.040310	-0.007689	0.017720	-0.026266	0.781121	0.801608	-0.823369	-0.002884	-0.055165	1.546093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
