time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764623351.477064848	0.000000	0.000000	-0.047633	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.487168312	0.000000	0.000000	-0.040359	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.508932352	0.000000	0.000000	-0.041048	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.514221430	0.000000	0.000000	-0.049659	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.514254332	0.000000	0.000000	-0.049319	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.535004854	0.000000	0.000000	-0.042732	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.536439657	0.000000	0.000000	-0.046584	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.546419859	0.000000	0.000000	-0.049680	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.557711124	0.000000	0.000000	-0.051015	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.575480700	0.000000	0.000000	-0.047245	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.580768347	0.000000	0.000000	-0.044483	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.583852768	0.000000	0.000000	-0.044849	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.592703819	0.000000	0.000000	-0.047925	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.603646994	0.000000	0.000000	-0.054503	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.617595196	0.000000	0.000000	-0.051025	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623351.623869896	0.000000	0.000000	-0.048624	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004469	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
