time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764623710.116527319	0.000000	0.000000	0.063651	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623710.131324053	0.000000	0.000000	0.061258	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623710.136974335	0.000000	0.000000	0.040535	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623710.148403883	0.000000	0.000000	0.058098	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623710.157257795	0.000000	0.000000	0.065792	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623710.171680450	0.000000	0.000000	0.060484	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764623710.178178072	0.000000	0.000000	0.054339	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.195317268	0.000000	0.000000	0.045075	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.196610689	0.000000	0.000000	0.040838	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.206083775	0.000000	0.000000	0.052984	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.219536066	0.000000	0.000000	0.058398	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.226083755	0.000000	0.000000	0.018379	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.240567684	0.000000	0.000000	0.037592	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.245969057	0.000000	0.000000	0.091250	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.256128073	0.000000	0.000000	0.070868	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.265994310	0.000000	0.000000	0.073689	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.279953957	0.000000	0.000000	0.108891	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.286212683	0.000000	0.000000	0.159673	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.296684504	0.000000	0.000000	0.243923	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.318271399	0.000000	0.000000	0.341954	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.319041967	0.000000	0.000000	0.414214	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.325986862	0.000000	0.000000	0.475424	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.337255716	0.000000	0.000000	0.544524	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.345785618	0.000000	0.000000	0.645342	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.356940508	0.000000	0.000000	0.697467	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.369963884	0.000000	0.000000	0.709268	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.377277136	0.000000	0.000000	0.831049	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.386950016	0.000000	0.000000	0.837683	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.397912025	0.000000	0.000000	0.910799	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
1764623710.406248331	0.000000	0.000000	0.962558	0.000000	0.000000	0.000000	0.000000	0.000000	0.068911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	88.716760	0.000000	0.000000	0.000000
