time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764696168.464397192	0.000000	0.000000	-0.029949	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.487756729	0.000000	0.000000	-0.035134	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.509527683	0.000000	0.000000	-0.041488	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.536730051	0.000000	0.000000	-0.026967	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.548851252	0.000000	0.000000	-0.037814	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.569386244	0.000000	0.000000	-0.036121	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.586534262	0.000000	0.000000	-0.036980	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.605298281	0.000000	0.000000	-0.035263	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.623898029	0.000000	0.000000	-0.027948	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.643635035	0.000000	0.000000	-0.028037	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.664690256	0.000000	0.000000	-0.035757	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.692071199	0.000000	0.000000	-0.040326	0.000000	0.000000	0.000000	0.000000	0.000000	-0.047827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.704716682	0.000000	0.000000	-0.034422	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.725032806	0.000000	0.000000	-0.020244	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.744615793	0.000000	0.000000	-0.036146	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.770253420	0.000000	0.000000	-0.038736	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.784504175	0.000000	0.000000	-0.030112	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.805916309	0.000000	0.000000	-0.033190	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.824691296	0.000000	0.000000	-0.032449	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.844070911	0.000000	0.000000	-0.032143	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.864631414	0.000000	0.000000	-0.034597	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.883166552	0.000000	0.000000	-0.020726	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.903000116	0.000000	0.000000	-0.028846	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.922544479	0.000000	0.000000	-0.039742	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.942427874	0.000000	0.000000	-0.023178	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048941	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.962331295	0.000000	0.000000	-0.035071	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696168.983850002	0.000000	0.000000	-0.027503	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.008582592	0.000000	0.000000	-0.028974	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.024740934	0.000000	0.000000	-0.029169	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.048307896	0.000000	0.000000	-0.032829	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.065645933	0.000000	0.000000	-0.027635	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.090401411	0.000000	0.000000	-0.021241	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.103745461	0.000000	0.000000	-0.029729	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.123647928	0.000000	0.000000	-0.026097	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.144633770	0.000000	0.000000	-0.027852	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.169613123	0.000000	0.000000	-0.028341	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.184410572	0.000000	0.000000	-0.036457	0.000000	0.000000	0.000000	0.000000	0.000000	-0.048553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.219194412	0.000000	0.000000	-0.031106	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.223269939	0.000000	0.000000	-0.028306	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.244252205	0.000000	0.000000	-0.024674	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.264030218	0.000000	0.000000	-0.031792	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.283484936	0.000000	0.000000	-0.031969	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764696169.303890467	0.000000	0.000000	-0.030942	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
