time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764624623.702171087	0.000000	0.000000	-0.048326	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.703685999	0.000000	0.000000	-0.054162	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.711768627	0.000000	0.000000	-0.065606	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.730248213	0.000000	0.000000	-0.051419	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.739842653	0.000000	0.000000	-0.063537	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.739854097	0.000000	0.000000	-0.060787	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.749478817	0.000000	0.000000	-0.052100	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.758760214	0.000000	0.000000	-0.061497	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.774568319	0.000000	0.000000	-0.062465	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.778953314	0.000000	0.000000	-0.059764	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.788329840	0.000000	0.000000	-0.051176	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.798320293	0.000000	0.000000	-0.048669	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.812740088	0.000000	0.000000	-0.048722	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.818341970	0.000000	0.000000	-0.057956	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764624623.837666273	0.000000	0.000000	-0.055199	0.000000	0.000000	0.000000	0.000000	0.000000	0.030124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
