time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764782801.731717825	-2.220489	0.424534	-0.285445	0.000000	0.000000	0.000000	0.241557	-0.014919	0.060040	-0.025004	0.147007	0.454709	0.106791	-0.257930	-0.139737	-0.096503	0.002833	-2.414316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.731744528	-1.965682	-1.022535	0.082150	0.000000	0.000000	0.000000	0.241557	-0.014919	0.060040	-0.025004	0.147007	0.454709	0.106791	-0.257930	-0.139737	-0.096503	0.002833	-2.414316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.733045340	-2.246788	-0.243447	-0.182160	0.000000	0.000000	0.000000	0.241557	-0.014919	0.060040	-0.025004	0.147007	0.454709	0.106791	-0.257930	-0.139737	-0.096503	0.002833	-2.414316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.741384983	-2.070742	-0.689027	-0.604213	0.000000	0.000000	0.000000	0.202844	-0.012782	0.051202	0.012585	0.129934	0.389774	0.106791	-0.257930	-0.139737	-0.096503	0.002833	-2.414316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.756678820	-2.303398	-0.656109	0.039574	0.000000	0.000000	0.000000	0.177911	-0.021224	0.051244	0.091668	0.113028	0.341803	0.104394	-0.259460	-0.138757	-0.093352	0.005098	-2.409120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.764020681	-2.482356	-0.797073	-0.840719	0.000000	0.000000	0.000000	0.136310	-0.020686	0.043174	0.154713	0.097213	0.236731	0.103553	-0.259983	-0.138383	-0.091107	0.006055	-2.407850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.773888826	-2.574613	-0.839705	0.039326	0.000000	0.000000	0.000000	0.136310	-0.020686	0.043174	0.154713	0.097213	0.236731	0.103553	-0.259983	-0.138383	-0.091107	0.006055	-2.407850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.782090664	-2.364942	-0.507994	-0.314270	0.000000	0.000000	0.000000	0.099909	-0.026121	0.032524	0.237860	0.098963	0.148506	0.102110	-0.260431	-0.137860	-0.084183	0.008330	-2.406746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.794027567	-2.289431	-0.393633	-0.179214	0.000000	0.000000	0.000000	0.099909	-0.026121	0.032524	0.237860	0.098963	0.148506	0.102110	-0.260431	-0.137860	-0.084183	0.008330	-2.406746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.806923866	-2.048577	-0.287725	-0.101448	0.000000	0.000000	0.000000	0.056679	-0.027165	0.031060	0.310145	0.069634	0.075111	0.101597	-0.260247	-0.137264	-0.077001	0.009087	-2.406775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.811990976	-1.880926	0.398620	-0.065958	0.000000	0.000000	0.000000	0.056679	-0.027165	0.031060	0.310145	0.069634	0.075111	0.101597	-0.260247	-0.137264	-0.077001	0.009087	-2.406775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.832637072	-1.781096	0.007882	-0.182462	0.000000	0.000000	0.000000	0.019376	-0.027594	0.024918	0.329432	0.080129	0.045946	0.101500	-0.259584	-0.136822	-0.069673	0.011012	-2.406563	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.832674503	-1.515940	0.133683	-0.437981	0.000000	0.000000	0.000000	0.019376	-0.027594	0.024918	0.329432	0.080129	0.045946	0.101500	-0.259584	-0.136822	-0.069673	0.011012	-2.406563	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.841847897	-1.339973	0.113443	-0.480294	0.000000	0.000000	0.000000	-0.015450	-0.025800	0.019991	0.357598	0.080835	0.043469	0.101904	-0.258647	-0.136502	-0.062518	0.012569	-2.405905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
