time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764782801.731702328	-8.367391	0.101813	-1.166711	5.494450	-2.315686	-5.877072	0.241297	-0.023896	0.056939	0.101013	0.137806	0.314278	0.106791	-0.257930	-0.139737	-0.096503	0.002833	-2.414316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.736844063	-3.467703	0.045350	-0.484072	2.262215	-0.960133	-2.419346	0.198274	-0.023372	0.050940	0.129264	0.125899	0.284060	0.106791	-0.257930	-0.139737	-0.096503	0.002833	-2.414316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.755673170	-2.695651	0.040588	-0.377229	1.733191	-0.747259	-1.853451	0.158173	-0.022809	0.045335	0.155240	0.114791	0.256284	0.104394	-0.259460	-0.138757	-0.093352	0.005098	-2.409120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.765546560	-2.282821	0.039369	-0.320328	1.443533	-0.633921	-1.544621	0.120902	-0.022207	0.040112	0.179011	0.104451	0.230861	0.103553	-0.259983	-0.138383	-0.091107	0.006055	-2.407850	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.787127495	-1.655297	0.032575	-0.232975	1.026807	-0.460772	-1.100333	0.086369	-0.021570	0.035259	0.200646	0.094851	0.207699	0.102110	-0.260431	-0.137860	-0.084183	0.008330	-2.406746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.805673361	-1.547617	0.034667	-0.218551	0.938789	-0.432192	-1.008653	0.054481	-0.020900	0.030764	0.220214	0.085962	0.186708	0.101597	-0.260247	-0.137264	-0.077001	0.009087	-2.406775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.826687336	-1.408661	0.035866	-0.199677	0.832343	-0.395057	-0.898002	0.025145	-0.020199	0.026613	0.237784	0.077754	0.167797	0.101500	-0.259584	-0.136822	-0.069673	0.011012	-2.406563	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.845576286	-1.328433	0.038429	-0.189104	0.760811	-0.374606	-0.825937	-0.001729	-0.019469	0.022796	0.253426	0.070198	0.150875	0.101904	-0.258647	-0.136502	-0.062518	0.012569	-2.405905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.865364790	-1.575423	0.051811	-0.225343	0.868964	-0.447391	-0.951910	-0.026235	-0.018712	0.019299	0.267210	0.063265	0.135852	0.102760	-0.257497	-0.136337	-0.055631	0.013948	-2.404909	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.875241756	-2.099233	0.078611	-0.301923	1.105790	-0.601518	-1.227203	-0.048465	-0.017932	0.016111	0.279205	0.056926	0.122636	0.103159	-0.256570	-0.136175	-0.051076	0.014306	-2.404514	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.885503292	-1.257631	0.053770	-0.182033	0.625459	-0.364507	-0.707281	-0.068510	-0.017129	0.013219	0.289479	0.051151	0.111138	0.103826	-0.255681	-0.136036	-0.047229	0.014133	-2.404553	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.905457020	-1.148501	0.056283	-0.167475	0.530636	-0.337759	-0.616743	-0.086464	-0.016307	0.010611	0.298103	0.045912	0.101266	0.105387	-0.254087	-0.135790	-0.041410	0.015610	-2.403374	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.915027380	-1.502919	0.084870	-0.221089	0.629858	-0.450287	-0.762856	-0.102419	-0.015468	0.008275	0.305146	0.041179	0.092929	0.106184	-0.253164	-0.135817	-0.037877	0.016306	-2.402499	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.925419331	-0.870156	0.057023	-0.129362	0.318500	-0.267008	-0.411557	-0.116466	-0.014613	0.006198	0.310676	0.036923	0.086037	0.107031	-0.252139	-0.135793	-0.034514	0.016749	-2.401384	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.945228338	-0.756937	0.058099	-0.113990	0.226441	-0.239557	-0.326579	-0.128698	-0.013745	0.004368	0.314765	0.033115	0.080500	0.109049	-0.250178	-0.135646	-0.029352	0.017489	-2.399184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.955463886	-0.933855	0.084984	-0.142916	0.198745	-0.307738	-0.355261	-0.139208	-0.012867	0.002773	0.317480	0.029726	0.076226	0.110058	-0.249021	-0.135562	-0.026230	0.017599	-2.397817	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.965990305	-0.547354	0.060025	-0.085517	0.053590	-0.190308	-0.172824	-0.148087	-0.011981	0.001400	0.318891	0.026726	0.073124	0.111255	-0.247960	-0.135558	-0.023947	0.017707	-2.396358	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.985097408	-0.453397	0.061267	-0.072814	-0.027797	-0.169498	-0.104420	-0.155428	-0.011089	0.000239	0.319068	0.024087	0.071104	0.113652	-0.245513	-0.135449	-0.018682	0.017785	-2.393511	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.995182991	-0.508288	0.087365	-0.084823	-0.149634	-0.210163	-0.056337	-0.161323	-0.010192	-0.000725	0.318080	0.021778	0.070076	0.114844	-0.244365	-0.135436	-0.016207	0.018012	-2.392030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782802.005629539	-0.239134	0.054868	-0.042257	-0.158822	-0.114366	0.016921	-0.165864	-0.009295	-0.001503	0.315996	0.019772	0.069947	0.116128	-0.243117	-0.135393	-0.013631	0.018197	-2.390563	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782802.027889013	-0.134126	0.044555	-0.026053	-0.178597	-0.080224	0.051806	-0.169144	-0.008398	-0.002107	0.312885	0.018038	0.070629	0.118833	-0.240604	-0.135327	-0.008875	0.018717	-2.388115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782802.045819521	-0.082742	0.046899	-0.019381	-0.237418	-0.072793	0.090238	-0.171255	-0.007504	-0.002550	0.308818	0.016547	0.072030	0.121195	-0.238372	-0.135413	-0.003811	0.019381	-2.385408	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
