time	u_dot	v_dot	w_dot	p_dot	q_dot	r_dot	u	v	w	p	q	r	x	y	z	phi	theta	psi	X	Y	Z	K	M	N
1764782801.731717825	-3.255738	1.609977	-0.204584	-0.090296	-0.583459	0.795078	0.114261	-0.033903	0.033850	0.341030	0.100527	0.020994	0.106791	-0.257930	-0.139737	-0.096503	0.002833	-2.414316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.731744528	-3.137003	1.634787	-0.201297	-0.103230	-0.553230	0.752931	0.098604	-0.032776	0.032084	0.339767	0.096859	0.026209	0.106791	-0.257930	-0.139737	-0.096503	0.002833	-2.414316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.733045340	-3.019294	1.655457	-0.197733	-0.115788	-0.523986	0.711875	0.083384	-0.031672	0.030366	0.338445	0.093259	0.031269	0.106791	-0.257930	-0.139737	-0.096503	0.002833	-2.414316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.741384983	-2.902613	1.671987	-0.193892	-0.127971	-0.495729	0.671911	0.068552	-0.030656	0.028746	0.337112	0.089523	0.036212	0.106214	-0.258298	-0.139501	-0.095745	0.003377	-2.413066	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.756678820	-2.786959	1.684377	-0.189774	-0.139779	-0.468457	0.633037	0.054047	-0.029735	0.027269	0.335819	0.085407	0.041093	0.104310	-0.259512	-0.138719	-0.093127	0.005193	-2.408993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.764020681	-2.672333	1.692628	-0.185380	-0.151211	-0.442170	0.595254	0.040106	-0.028621	0.025735	0.334330	0.081894	0.045732	0.103684	-0.259902	-0.138441	-0.091455	0.005907	-2.408047	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.773888826	-2.558733	1.696739	-0.180708	-0.162268	-0.416869	0.558563	0.026607	-0.027467	0.024277	0.332756	0.078542	0.050225	0.102983	-0.260160	-0.138177	-0.088370	0.006954	-2.407414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.782090664	-2.446161	1.696711	-0.175760	-0.172950	-0.392554	0.522962	0.013559	-0.026333	0.022823	0.331112	0.075298	0.054563	0.102422	-0.260334	-0.137973	-0.085679	0.007839	-2.406985	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.794027567	-2.334616	1.692542	-0.170535	-0.183257	-0.369225	0.488453	0.000959	-0.025184	0.021431	0.329399	0.072217	0.058681	0.101909	-0.260358	-0.137626	-0.081364	0.008627	-2.406758	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.806923866	-2.224099	1.684234	-0.165033	-0.193189	-0.346881	0.455035	-0.011190	-0.024055	0.020076	0.327620	0.069280	0.062607	0.101590	-0.260200	-0.137233	-0.076487	0.009222	-2.406760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.811990976	-2.114609	1.671786	-0.159255	-0.202745	-0.325523	0.422708	-0.022899	-0.023021	0.018678	0.325785	0.066319	0.066473	0.101566	-0.260040	-0.137126	-0.074719	0.009687	-2.406709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.832637072	-2.006146	1.655199	-0.153199	-0.211926	-0.305151	0.391472	-0.034200	-0.021901	0.017394	0.323855	0.063565	0.070228	0.101635	-0.259271	-0.136716	-0.067287	0.011531	-2.406344	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.832674503	-1.898710	1.634472	-0.146867	-0.220732	-0.285764	0.361327	-0.045019	-0.020955	0.016033	0.321909	0.060711	0.073777	0.101635	-0.259269	-0.136715	-0.067272	0.011534	-2.406342	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.841847897	-1.792301	1.609605	-0.140258	-0.229162	-0.267363	0.332273	-0.055419	-0.019961	0.014752	0.319887	0.057999	0.077188	0.101835	-0.258806	-0.136557	-0.063735	0.012304	-2.406017	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.852453470	-1.686920	1.580598	-0.133372	-0.237218	-0.249948	0.304310	-0.065382	-0.018978	0.013506	0.317807	0.055352	0.080444	0.102223	-0.258218	-0.136441	-0.059947	0.013084	-2.405533	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.861778021	-1.582566	1.547452	-0.126209	-0.244898	-0.233518	0.277439	-0.074902	-0.018027	0.012290	0.315669	0.052764	0.083547	0.102624	-0.257681	-0.136363	-0.056729	0.013728	-2.405068	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.878965855	-1.497499	1.554490	-0.116548	-0.252203	-0.218074	0.251658	-0.083982	-0.017049	0.011188	0.313477	0.050413	0.086380	0.103420	-0.256223	-0.136121	-0.049570	0.014239	-2.404529	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.902122498	-1.381770	1.501287	-0.086791	-0.259132	-0.203616	0.226969	-0.092636	-0.016056	0.010061	0.311205	0.048081	0.089167	0.105164	-0.254315	-0.135825	-0.042242	0.015399	-2.403543	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.902127981	-1.236466	1.479674	-0.070194	-0.265687	-0.190143	0.203371	-0.100823	-0.015256	0.008957	0.308899	0.045662	0.091807	0.105164	-0.254315	-0.135825	-0.042240	0.015399	-2.403542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.905494213	-1.093046	1.419759	-0.087335	-0.271866	-0.177656	0.180864	-0.108577	-0.014447	0.007895	0.306526	0.043320	0.094305	0.105431	-0.254037	-0.135791	-0.041217	0.015648	-2.403326	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.911851645	-0.964102	1.357514	-0.055388	-0.277670	-0.166154	0.159448	-0.115900	-0.013611	0.006877	0.304092	0.041052	0.096651	0.105943	-0.253444	-0.135809	-0.038947	0.016095	-2.402764	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.927752018	-0.840769	1.289990	-0.070878	-0.283099	-0.155639	0.139123	-0.122799	-0.012641	0.005907	0.301606	0.038826	0.098829	0.107299	-0.251878	-0.135773	-0.033827	0.016848	-2.401091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.932138205	-0.735417	1.194428	-0.060509	-0.288152	-0.146109	0.119889	-0.129240	-0.011859	0.004997	0.299061	0.036660	0.100851	0.107745	-0.251445	-0.135741	-0.032687	0.017011	-2.400605	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.940910339	-0.628977	1.113897	-0.056546	-0.292831	-0.137564	0.101746	-0.135249	-0.011026	0.004130	0.296456	0.034546	0.102720	0.108636	-0.250579	-0.135676	-0.030408	0.017338	-2.399634	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.962655306	-0.532959	1.032802	-0.049718	-0.297134	-0.130005	0.084694	-0.140838	-0.009937	0.003351	0.293823	0.032410	0.104375	0.110894	-0.248280	-0.135559	-0.024637	0.017674	-2.396799	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.965995073	-0.437584	0.947665	-0.037688	-0.301062	-0.123432	0.068734	-0.145962	-0.009216	0.002603	0.291101	0.030436	0.105925	0.111254	-0.247961	-0.135558	-0.023949	0.017707	-2.396359	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.971252918	-0.344913	0.896850	-0.021847	-0.304614	-0.117845	0.053864	-0.150651	-0.008464	0.001918	0.288325	0.028519	0.107306	0.111914	-0.247287	-0.135528	-0.022500	0.017728	-2.395575	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.985101223	-0.259378	0.829757	-0.007872	-0.307791	-0.113243	0.040086	-0.154911	-0.007532	0.001302	0.285506	0.026614	0.108502	0.113651	-0.245513	-0.135449	-0.018683	0.017785	-2.393511	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1764782801.992158890	-0.172230	0.771047	-0.010265	-0.310594	-0.109627	0.027399	-0.158725	-0.006775	0.000701	0.282604	0.024812	0.109591	0.114510	-0.244687	-0.135440	-0.016900	0.017948	-2.392445	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
